arm,assignment_id,task_id,replicate,criterion_id,source_generation,offline,first_scored_submission,first_available_feedback_turn,first_focused_reminder_turn,availability_to_reminder_lag,first_verbatim_requirement_turn,verbatim_requirement_exposures,reminder_deliveries,proactive_deliveries,corrective_deliveries,scored_observations,scored_violations,post_reminder_scored_observations,post_reminder_scored_violations,post_reminder_violation_response_opportunities,first_post_reminder_level,first_post_reminder_points
full,da-13-3--rep-002--solver-luna--full-red-team-trace,da-13-3,2,elicited_3aadec50a49d594d,5,False,s003,4,4,0,4,"[{""turn"": 4, ""path"": ""/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-13-3/rep-002/luna/full-red-team-trace/turns/turn-004/prompt.txt"", ""sha256"": ""2eb84d14f4a965545513a112ff88db30b16653565204091ce389789170c23e76"", ""offset"": 12931, ""representation"": ""literal""}, {""turn"": 5, ""path"": ""/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-13-3/rep-002/luna/full-red-team-trace/turns/turn-005/prompt.txt"", ""sha256"": ""d314173146aa55bd9ad86031a27523106d3087b2d3fbbc4e6356fc1c17a7976c"", ""offset"": 13185, ""representation"": ""literal""}]",1,1,0,2,0,1,0,0,A,0.0
full,da-13-3--rep-002--solver-luna--full-red-team-trace,da-13-3,2,elicited_04e3945a7b1c6bde,6,False,s004,5,5,0,5,"[{""turn"": 5, ""path"": ""/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-13-3/rep-002/luna/full-red-team-trace/turns/turn-005/prompt.txt"", ""sha256"": ""d314173146aa55bd9ad86031a27523106d3087b2d3fbbc4e6356fc1c17a7976c"", ""offset"": 14685, ""representation"": ""literal""}]",1,1,0,1,0,0,0,0,,
user,da-13-1--rep-003--solver-luna--user-simulator-red-team-trace,da-13-1,3,elicited_8d0cbadf79ba45cf,3,False,s001,2,2,0,2,"[{""turn"": 2, ""path"": ""/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-13-1/rep-003/luna/user-simulator-red-team-trace/turns/turn-002/prompt.txt"", ""sha256"": ""b9ce967bea538eba7174880686dac1eb137d2161dca497ae5e6b3d97c771abef"", ""offset"": 1280, ""representation"": ""literal""}]",1,1,0,4,0,3,0,0,A,0.0
full,da-15-2--rep-001--solver-luna--full-red-team-trace,da-15-2,1,elicited_accc1ceaf159d0d1,1,True,s000,1,,,1,"[{""turn"": 1, ""path"": ""/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-15-2/rep-001/luna/full-red-team-trace/turns/turn-001/prompt.txt"", ""sha256"": ""4e2ce41a062b124cdb018d6c25abfa47ba14b4cd8d3812469145103fbe765b01"", ""offset"": 16033, ""representation"": ""literal""}, {""turn"": 2, ""path"": ""/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-15-2/rep-001/luna/full-red-team-trace/turns/turn-002/prompt.txt"", ""sha256"": ""ebabb38da09660ba5301a588dff8eb1914c95ae100e83ad380f8050931ec23b9"", ""offset"": 8494, ""representation"": ""literal""}, {""turn"": 3, ""path"": ""/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-15-2/rep-001/luna/full-red-team-trace/turns/turn-003/prompt.txt"", ""sha256"": ""bff0c3255c3e535dfbab6cfad8e31475306df8a63ef839267ee697adbab0d09b"", ""offset"": 8436, ""representation"": ""literal""}, {""turn"": 4, ""path"": ""/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-15-2/rep-001/luna/full-red-team-trace/turns/turn-004/prompt.txt"", ""sha256"": ""bff0c3255c3e535dfbab6cfad8e31475306df8a63ef839267ee697adbab0d09b"", ""offset"": 8436, ""representation"": ""literal""}, {""turn"": 5, ""path"": ""/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-15-2/rep-001/luna/full-red-team-trace/turns/turn-005/prompt.txt"", ""sha256"": ""bff0c3255c3e535dfbab6cfad8e31475306df8a63ef839267ee697adbab0d09b"", ""offset"": 8436, ""representation"": ""literal""}, {""turn"": 6, ""path"": ""/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-15-2/rep-001/luna/full-red-team-trace/turns/turn-006/prompt.txt"", ""sha256"": ""ed8c2f574fbce377a8a92d58ec8a0512ed9f87464549edd7e9ee618445efe94c"", ""offset"": 8402, ""representation"": ""literal""}]",0,0,0,6,0,0,0,0,,
full,da-15-2--rep-001--solver-luna--full-red-team-trace,da-15-2,1,elicited_cefd1ecb9d7b6460,1,True,s000,1,1,0,1,"[{""turn"": 1, ""path"": ""/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-15-2/rep-001/luna/full-red-team-trace/turns/turn-001/prompt.txt"", ""sha256"": ""4e2ce41a062b124cdb018d6c25abfa47ba14b4cd8d3812469145103fbe765b01"", ""offset"": 17341, ""representation"": ""literal""}, {""turn"": 2, ""path"": ""/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-15-2/rep-001/luna/full-red-team-trace/turns/turn-002/prompt.txt"", ""sha256"": ""ebabb38da09660ba5301a588dff8eb1914c95ae100e83ad380f8050931ec23b9"", ""offset"": 9802, ""representation"": ""literal""}, {""turn"": 3, ""path"": ""/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-15-2/rep-001/luna/full-red-team-trace/turns/turn-003/prompt.txt"", ""sha256"": ""bff0c3255c3e535dfbab6cfad8e31475306df8a63ef839267ee697adbab0d09b"", ""offset"": 9744, ""representation"": ""literal""}, {""turn"": 4, ""path"": ""/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-15-2/rep-001/luna/full-red-team-trace/turns/turn-004/prompt.txt"", ""sha256"": ""bff0c3255c3e535dfbab6cfad8e31475306df8a63ef839267ee697adbab0d09b"", ""offset"": 9744, ""representation"": ""literal""}, {""turn"": 5, ""path"": ""/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-15-2/rep-001/luna/full-red-team-trace/turns/turn-005/prompt.txt"", ""sha256"": ""bff0c3255c3e535dfbab6cfad8e31475306df8a63ef839267ee697adbab0d09b"", ""offset"": 9744, ""representation"": ""literal""}, {""turn"": 6, ""path"": ""/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-15-2/rep-001/luna/full-red-team-trace/turns/turn-006/prompt.txt"", ""sha256"": ""ed8c2f574fbce377a8a92d58ec8a0512ed9f87464549edd7e9ee618445efe94c"", ""offset"": 9710, ""representation"": ""literal""}]",1,0,1,6,1,5,0,0,A,0.0
user,da-18-7--rep-001--solver-luna--user-simulator-red-team-trace,da-18-7,1,elicited_a246b4aace308d00,5,False,s003,4,4,0,4,"[{""turn"": 4, ""path"": ""/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-18-7/rep-001/luna/user-simulator-red-team-trace/turns/turn-004/prompt.txt"", ""sha256"": ""ad35dd75fbd4707fe8da301ab80595fef2ad6c42495bf2599bc5820db2877fb7"", ""offset"": 1180, ""representation"": ""literal""}]",1,1,0,4,0,3,0,0,A,0.0
user,da-13-6--rep-001--solver-luna--user-simulator-red-team-trace,da-13-6,1,elicited_fd1b148d5bf4b379,1,True,s000,1,1,0,1,"[{""turn"": 1, ""path"": ""/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-13-6/rep-001/luna/user-simulator-red-team-trace/turns/turn-001/prompt.txt"", ""sha256"": ""28a19db095d9c2d51a67d78e71bb981dcf394929b6835ef94f4c37d61454f934"", ""offset"": 7006, ""representation"": ""literal""}]",1,1,0,11,0,10,0,0,A,0.0
user,da-13-6--rep-001--solver-luna--user-simulator-red-team-trace,da-13-6,1,elicited_b0ebad19dbb439fe,4,False,s002,3,3,0,3,"[{""turn"": 3, ""path"": ""/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-13-6/rep-001/luna/user-simulator-red-team-trace/turns/turn-003/prompt.txt"", ""sha256"": ""6e5fcd84c9104a59b43bd8c91068f84580e64917cfdbfe0cf6f14a9bdf5291db"", ""offset"": 1146, ""representation"": ""literal""}]",1,1,0,9,0,8,0,0,A,0.0
user,da-13-6--rep-001--solver-luna--user-simulator-red-team-trace,da-13-6,1,elicited_9ec648ade0a9386e,5,False,s003,4,4,0,4,"[{""turn"": 4, ""path"": ""/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-13-6/rep-001/luna/user-simulator-red-team-trace/turns/turn-004/prompt.txt"", ""sha256"": ""2deb94d66c780befc4de206899e6f9aa115b24ae75f5605b9901d316b9d1b6ab"", ""offset"": 1187, ""representation"": ""literal""}]",1,1,0,8,0,7,0,0,A,0.0
full,da-15-1--rep-002--solver-luna--full-red-team-trace,da-15-1,2,elicited_ab0d83d2303df0d6,2,False,s000,1,,,1,"[{""turn"": 1, ""path"": ""/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-15-1/rep-002/luna/full-red-team-trace/turns/turn-001/prompt.txt"", ""sha256"": ""224722fba90085074dd5e8b7ea97cb7fdae4692759927d2729ed64b9e26b9e1c"", ""offset"": 15450, ""representation"": ""literal""}, {""turn"": 2, ""path"": ""/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-15-1/rep-002/luna/full-red-team-trace/turns/turn-002/prompt.txt"", ""sha256"": ""850c23abf9bb881b8a5b3b9c37797eb0b6ea552f50e3caa45cf91937273e0e31"", ""offset"": 9390, ""representation"": ""literal""}, {""turn"": 3, ""path"": ""/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-15-1/rep-002/luna/full-red-team-trace/turns/turn-003/prompt.txt"", ""sha256"": ""0103d9efff21ea985e7b4b665440f786b675fc759129f5e83e40128e3eb5446a"", ""offset"": 9526, ""representation"": ""literal""}, {""turn"": 4, ""path"": ""/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-15-1/rep-002/luna/full-red-team-trace/turns/turn-004/prompt.txt"", ""sha256"": ""1b997013930262d4985c2977927346d4abd96e10f8256ff1735c6f177521d09c"", ""offset"": 9884, ""representation"": ""literal""}, {""turn"": 5, ""path"": ""/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-15-1/rep-002/luna/full-red-team-trace/turns/turn-005/prompt.txt"", ""sha256"": ""9f8d107067ada045b34e80fd0fa1099fb4ba1ab7bdc11cb11b752e7a8ad76d94"", ""offset"": 10112, ""representation"": ""literal""}, {""turn"": 6, ""path"": ""/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-15-1/rep-002/luna/full-red-team-trace/turns/turn-006/prompt.txt"", ""sha256"": ""8642902f2be58af81c0162256c2b8b51254d99f0d75cfece3d9169aae25fe747"", ""offset"": 10232, ""representation"": ""literal""}, {""turn"": 7, ""path"": ""/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-15-1/rep-002/luna/full-red-team-trace/turns/turn-007/prompt.txt"", ""sha256"": ""c0b1050d50c6fe46bdf059ab0b430eeb206eb59ac0a4ff43e3418d7b11d1fed2"", ""offset"": 10248, ""representation"": ""literal""}]",0,0,0,7,0,0,0,0,,
