arm,task_id,replicate,selection_reasons,delta_W,delta_W_train,delta_S,delta_H,delta_A,delta_W_minus_S,delta_W_minus_A,delta_S_minus_H,delta_H_minus_A,delta_RH,packet_path,packet_sha256,packet_bytes
user,da-12-2,1,"[""top_three_task_contributors_W_minus_S""]",25.0,25.0,61.0,52.66666666666667,25.5,-36.0,-0.5,8.333333333333332,27.166666666666668,0.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/report/gap-inspection/user--da-12-2--rep-001.json,a781e3975ac9998bfa5553eba4dbd29d2f8884c3c426661dd6144bfcaf83d8ca,140572
user,da-12-2,2,"[""top_three_task_contributors_W_minus_S""]",30.0,30.0,15.0,3.6666666666666643,-16.0,15.0,46.0,11.333333333333336,19.666666666666664,0.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/report/gap-inspection/user--da-12-2--rep-002.json,8f12a5017737dd5a2e0f2508c1f3a2874c3050ee4b5f80061eb09e8f2a1f2f08,106456
user,da-12-2,3,"[""narrower_gap_with_delta_A_at_most_minus_5"", ""top_three_task_contributors_W_minus_S""]",0.0,0.0,2.5,-0.8333333333333286,-11.5,-2.5,11.5,3.3333333333333286,10.666666666666671,-100.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/report/gap-inspection/user--da-12-2--rep-003.json,dbcb0868283d8e01689643e8925e3b34169c4eee8c798167ca9144e8f9a1962c,121541
user,da-13-5,3,"[""narrower_gap_with_delta_A_at_most_minus_5""]",0.0,0.0,7.5,-0.8333333333333286,-13.0,-7.5,13.0,8.333333333333329,12.166666666666671,0.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/report/gap-inspection/user--da-13-5--rep-003.json,ada0d002b741e4b394b0ec0058b7a69abfd5b69834e37fb5b86ed1e7d6293eac,116022
user,da-13-6,3,"[""narrower_gap_with_delta_A_at_most_minus_5""]",-20.0,-20.0,-40.0,-33.33333333333333,-19.0,20.0,-1.0,-6.666666666666668,-14.333333333333332,0.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/report/gap-inspection/user--da-13-6--rep-003.json,f4f89cc52f7a12637719869011ece9251873759a52b19c2f301639109d94c959,144026
user,da-14-1,1,"[""top_three_task_contributors_W_minus_S""]",0.0,0.0,17.0,10.833333333333336,-2.0,-17.0,2.0,6.166666666666664,12.833333333333336,0.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/report/gap-inspection/user--da-14-1--rep-001.json,43fb9b8aff74c939d21209f3c4de16b28919de8497956da82e981c2b3e422208,132672
user,da-14-1,2,"[""top_three_task_contributors_W_minus_S""]",0.0,0.0,-7.5,-9.333333333333336,-2.5,7.5,2.5,1.8333333333333357,-6.833333333333336,0.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/report/gap-inspection/user--da-14-1--rep-002.json,893c2f88e42d37fbccb79ce4e1aa74585b9a98f4ddddfbbe7b3c77c64fe6057b,133243
user,da-14-1,3,"[""top_three_task_contributors_W_minus_S""]",0.0,0.0,17.5,15.5,0.5,-17.5,-0.5,2.0,15.0,0.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/report/gap-inspection/user--da-14-1--rep-003.json,ef26fe8cd282b1be3cfd6d671af0046ef1eeb0aa5bdd1f2fadd21bb09707f415,127241
user,da-14-3,1,"[""narrower_gap_with_delta_A_at_most_minus_5""]",0.0,0.0,5.5,-1.8333333333333357,-8.0,-5.5,8.0,7.333333333333336,6.166666666666664,0.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/report/gap-inspection/user--da-14-3--rep-001.json,253abf8bdc4ecaef204c9dba53a25b3476ac93ec6ef86077f0ac3a4f5247246b,115679
user,da-15-7,1,"[""top_three_task_contributors_W_minus_A"", ""top_three_task_contributors_W_minus_S""]",-10.0,-10.0,5.0,0.0,33.5,-15.0,-43.5,5.0,-33.5,-50.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/report/gap-inspection/user--da-15-7--rep-001.json,dd919ce3b5f1711e9cb83450f256995984b3440d2c4b13c0b4a6d3e9aa8b5bb2,174119
user,da-15-7,2,"[""top_three_task_contributors_W_minus_A"", ""top_three_task_contributors_W_minus_S""]",0.0,0.0,-11.0,-17.666666666666668,9.5,11.0,-9.5,6.666666666666668,-27.166666666666668,0.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/report/gap-inspection/user--da-15-7--rep-002.json,860ee18f6247d8e44ee188a3ce6f50a77654c57ad6b3d5db864c530811da30d9,142494
user,da-15-7,3,"[""top_three_task_contributors_W_minus_A"", ""top_three_task_contributors_W_minus_S""]",0.0,0.0,8.5,8.5,18.0,-8.5,-18.0,0.0,-9.5,0.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/report/gap-inspection/user--da-15-7--rep-003.json,6e02dd90598e8f9bc588353e335f83d3d10fdd09ed4db60446035d6fe06a12c0,136131
user,da-18-7,1,"[""narrower_gap_with_delta_A_at_most_minus_5""]",-5.0,-5.0,0.0,-9.333333333333329,-8.5,-5.0,3.5,9.333333333333329,-0.8333333333333286,0.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/report/gap-inspection/user--da-18-7--rep-001.json,4c9a5ce4d8e7a329f1ee85c78231ae1f66d3f3fd90db45ed585bab59fa452786,115363
user,da-18-7,2,"[""narrower_gap_with_delta_A_at_most_minus_5""]",0.0,0.0,5.0,5.0,-8.0,-5.0,8.0,0.0,13.0,0.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/report/gap-inspection/user--da-18-7--rep-002.json,61ea4c806b6d8f135cf8fc0618f07c5cb6b275f1a49dd1419b65a5fdd4c8e60e,129959
user,da-19-6,1,"[""top_three_task_contributors_W_minus_A""]",-28.0,-28.0,-27.0,-21.5,-3.0,-1.0,-25.0,-5.5,-18.500000000000004,0.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/report/gap-inspection/user--da-19-6--rep-001.json,25f5933806119ce594d9a7f269c80cffbd24add1468dba2b0d49944ca01056ca,155752
user,da-19-6,2,"[""top_three_task_contributors_W_minus_A""]",4.0,4.0,20.5,15.666666666666668,6.0,-16.5,-2.0,4.833333333333332,9.666666666666668,0.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/report/gap-inspection/user--da-19-6--rep-002.json,6a5b0a5f79fcd484ec253b573afc3ba7a1ddd9edaf5c08dcb8f93bc3426d3d22,150490
user,da-19-6,3,"[""top_three_task_contributors_W_minus_A""]",-5.0,-5.0,-12.5,-10.166666666666668,6.0,7.5,-11.0,-2.333333333333332,-16.166666666666668,0.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/report/gap-inspection/user--da-19-6--rep-003.json,594958f2c00ee1dad5fad2ba9327078fc5ac9843e73c942a28d4835dd9622c08,158892
