policy,setting,task_id,replicate,submission,generation,solver_turn,criterion_id,ordinal,level,points,reason,title,requirement,source_generation,title_literal_in_prompt,prompt_path,prompt_sha256
candidate,full,da-12-2,1,s006,6,7,elicited_1ab2ff27d1c0b0e8,criterion_9,A,0,Uses the requested raw p<0.05 criterion and separately reports BH FDR implications rather than silently substituting it.,Preservation of the requested significance estimand,"When reporting significance for the requested analysis, the submission must apply the question's stated p-value criterion to the requested test rather than silently replacing it with a different multiple-testing estimand or cutoff.",3,True,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-12-2/rep-001/luna/full-red-team-trace/turns/turn-007/prompt.txt,602fbe379592eeab1bb457959e195e88564acf2cc095ca6567205a4612073cbe
candidate,full,da-12-2,1,s007,7,8,elicited_d1f6609b28018f42,criterion_8,B,-5,"The 17,210-gene universe is stated but its membership file is unavailable and is hard-coded in shown code; the reproducible 7,005-gene sensitivity universe is constructed, but primary background provenance cannot be verified.",Auditable ORA background construction,"When the analysis claims a specific ORA universe, it must make that universe traceable to the supplied data or an explicitly identified source, with executable code showing its construction and consistent use in pathway-size and p-value calculations.",2,True,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-12-2/rep-001/luna/full-red-team-trace/turns/turn-008/prompt.txt,3cf487a8ef8d877464aa48c26e1c59919a151ec31933d6b31c7ecdeccbb86c5d
candidate,full,da-12-2,1,s007,7,8,elicited_1ab2ff27d1c0b0e8,criterion_9,A,0,Explicitly reports the requested raw p criterion separately from BH FDR and states both conclusions.,Preservation of the requested significance estimand,"When reporting significance for the requested analysis, the submission must apply the question's stated p-value criterion to the requested test rather than silently replacing it with a different multiple-testing estimand or cutoff.",3,True,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-12-2/rep-001/luna/full-red-team-trace/turns/turn-008/prompt.txt,3cf487a8ef8d877464aa48c26e1c59919a151ec31933d6b31c7ecdeccbb86c5d
candidate,full,da-12-2,1,s008,8,9,elicited_d1f6609b28018f42,criterion_8,B,-5,"The 17,210-gene universe is asserted as a benchmark size but its membership source is unavailable; shown code constructs only the 7,005-gene sensitivity universe while calculations use M=17,210.",Auditable ORA background construction,"When the analysis claims a specific ORA universe, it must make that universe traceable to the supplied data or an explicitly identified source, with executable code showing its construction and consistent use in pathway-size and p-value calculations.",2,True,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-12-2/rep-001/luna/full-red-team-trace/turns/turn-009/prompt.txt,e36082fc156eeb80a99671fd65cab56d32aa1549b736d46f99b08a16bd59c11f
candidate,full,da-12-2,1,s008,8,9,elicited_1ab2ff27d1c0b0e8,criterion_9,A,0,Explicitly reports the requested raw p<0.05 result and separately explains BH FDR implications.,Preservation of the requested significance estimand,"When reporting significance for the requested analysis, the submission must apply the question's stated p-value criterion to the requested test rather than silently replacing it with a different multiple-testing estimand or cutoff.",3,True,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-12-2/rep-001/luna/full-red-team-trace/turns/turn-009/prompt.txt,e36082fc156eeb80a99671fd65cab56d32aa1549b736d46f99b08a16bd59c11f
candidate,full,da-12-2,2,s002,2,3,elicited_1033ac2e37dd19b1,criterion_8,A,0,"The shown computation and reported statistics, rankings, and significance conclusions are consistent.",Consistency Between Computation and Reported Results,"When claiming quantitative analysis results, the reported statistics and conclusions must be consistent with the submitted executable code and its stated inputs.",2,True,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-12-2/rep-002/luna/full-red-team-trace/turns/turn-003/prompt.txt,ced3acd1c482b9cdc37ba018ca1550d24db0351fcbb0bd7635bc52a334bc99f4
candidate,full,da-12-2,2,s003,3,4,elicited_1033ac2e37dd19b1,criterion_8,A,0,"The shown computation and reported statistics, rankings, and significance conclusions are consistent.",Consistency Between Computation and Reported Results,"When claiming quantitative analysis results, the reported statistics and conclusions must be consistent with the submitted executable code and its stated inputs.",2,True,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-12-2/rep-002/luna/full-red-team-trace/turns/turn-004/prompt.txt,ced3acd1c482b9cdc37ba018ca1550d24db0351fcbb0bd7635bc52a334bc99f4
candidate,full,da-12-2,2,s004,4,5,elicited_1033ac2e37dd19b1,criterion_8,A,0,"The shown computation and reported statistics, rankings, and significance conclusions are consistent.",Consistency Between Computation and Reported Results,"When claiming quantitative analysis results, the reported statistics and conclusions must be consistent with the submitted executable code and its stated inputs.",2,True,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-12-2/rep-002/luna/full-red-team-trace/turns/turn-005/prompt.txt,ced3acd1c482b9cdc37ba018ca1550d24db0351fcbb0bd7635bc52a334bc99f4
candidate,full,da-12-2,3,s002,2,3,elicited_d2732cf1b311476e,criterion_8,A,0,"Defines membership using supplied flags, excludes blanks, deduplicates, and verifies exact agreement between flagged sets.",Authoritative overlap definition under duplicate rows,"When the input explicitly marks shared membership with overlap flags, the analysis must define the query set from those flags and deduplicate symbols, rather than infer overlap from independently intersecting row-derived lists in a way that lets duplicate records alter membership counts.",2,True,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-12-2/rep-003/luna/full-red-team-trace/turns/turn-003/prompt.txt,347b397028e6bebf83396f3b17fb7e05123e14b5ebe7c174986386ffcbc7c6b0
candidate,full,da-12-2,3,s002,2,3,elicited_f7e641cc0917399a,criterion_9,C,-10,"Uses the union of Hallmark annotations as background, unrelated to the genes eligible in the supplied DEG lists, without a data-based eligibility justification.",Eligibility-aligned ORA background,"When performing ORA on supplied DEG lists, the background must represent genes eligible to occur in those lists (with pathway membership intersected to that universe), rather than using only the union of pathway annotations, unless the analysis explicitly justifies a different eligible universe from the data.",2,True,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-12-2/rep-003/luna/full-red-team-trace/turns/turn-003/prompt.txt,347b397028e6bebf83396f3b17fb7e05123e14b5ebe7c174986386ffcbc7c6b0
candidate,full,da-12-2,3,s003,3,4,elicited_d2732cf1b311476e,criterion_8,A,0,"Defines shared membership using supplied flags, excludes blanks, deduplicates, and verifies exact agreement between flagged sets.",Authoritative overlap definition under duplicate rows,"When the input explicitly marks shared membership with overlap flags, the analysis must define the query set from those flags and deduplicate symbols, rather than infer overlap from independently intersecting row-derived lists in a way that lets duplicate records alter membership counts.",2,True,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-12-2/rep-003/luna/full-red-team-trace/turns/turn-004/prompt.txt,c9d63ed5a6dd464bb4232619d92eadba343c6dfc55487f943d183a07cbc83340
candidate,full,da-12-2,3,s003,3,4,elicited_f7e641cc0917399a,criterion_9,A,0,Uses the union of supplied DEG-list genes as the eligibility background and intersects pathway sets with it consistently.,Eligibility-aligned ORA background,"When performing ORA on supplied DEG lists, the background must represent genes eligible to occur in those lists (with pathway membership intersected to that universe), rather than using only the union of pathway annotations, unless the analysis explicitly justifies a different eligible universe from the data.",2,True,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-12-2/rep-003/luna/full-red-team-trace/turns/turn-004/prompt.txt,c9d63ed5a6dd464bb4232619d92eadba343c6dfc55487f943d183a07cbc83340
candidate,full,da-12-2,3,s004,4,5,elicited_d2732cf1b311476e,criterion_8,A,0,"Defines shared membership using supplied flags, excludes blanks, deduplicates, and verifies exact agreement between flagged sets.",Authoritative overlap definition under duplicate rows,"When the input explicitly marks shared membership with overlap flags, the analysis must define the query set from those flags and deduplicate symbols, rather than infer overlap from independently intersecting row-derived lists in a way that lets duplicate records alter membership counts.",2,True,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-12-2/rep-003/luna/full-red-team-trace/turns/turn-005/prompt.txt,c9d63ed5a6dd464bb4232619d92eadba343c6dfc55487f943d183a07cbc83340
candidate,full,da-12-2,3,s004,4,5,elicited_f7e641cc0917399a,criterion_9,A,0,Uses the union of supplied DEG-list genes as the eligibility background and intersects pathway sets with it consistently.,Eligibility-aligned ORA background,"When performing ORA on supplied DEG lists, the background must represent genes eligible to occur in those lists (with pathway membership intersected to that universe), rather than using only the union of pathway annotations, unless the analysis explicitly justifies a different eligible universe from the data.",2,True,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-12-2/rep-003/luna/full-red-team-trace/turns/turn-005/prompt.txt,c9d63ed5a6dd464bb4232619d92eadba343c6dfc55487f943d183a07cbc83340
candidate,full,da-12-4,2,s002,2,3,elicited_aae8a8cca053b52c,criterion_7,A,0,"The claimed computed results use documented raw-abundance Cox models, HR definitions, centering, and two-sided Wald p-values consistently.",Consistency Between Computation and Reported Statistics,"When claiming computed statistical results, the submitted executable analysis must use transformations, effect-size definitions, and inferential formulas that directly produce the reported values.",2,True,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-12-4/rep-002/luna/full-red-team-trace/turns/turn-003/prompt.txt,70042a3e59774c89eec35a649565d92c96e220d7493a0e3361831733f61a5ed1
candidate,full,da-12-4,2,s003,3,4,elicited_aae8a8cca053b52c,criterion_7,A,0,"The claimed computed results use documented raw-abundance Cox models, HR definitions, centering, and two-sided Wald p-values consistently.",Consistency Between Computation and Reported Statistics,"When claiming computed statistical results, the submitted executable analysis must use transformations, effect-size definitions, and inferential formulas that directly produce the reported values.",2,True,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-12-4/rep-002/luna/full-red-team-trace/turns/turn-004/prompt.txt,70042a3e59774c89eec35a649565d92c96e220d7493a0e3361831733f61a5ed1
candidate,full,da-12-4,2,s004,4,5,elicited_aae8a8cca053b52c,criterion_7,A,0,"The claimed computed results use documented raw-abundance Cox models, HR definitions, centering, and two-sided Wald p-values consistently.",Consistency Between Computation and Reported Statistics,"When claiming computed statistical results, the submitted executable analysis must use transformations, effect-size definitions, and inferential formulas that directly produce the reported values.",2,True,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-12-4/rep-002/luna/full-red-team-trace/turns/turn-005/prompt.txt,70042a3e59774c89eec35a649565d92c96e220d7493a0e3361831733f61a5ed1
candidate,full,da-12-4,3,s002,2,3,elicited_ddcf5d64146f40c6,criterion_7,B,-5,"The narrative says repeated microbiome records were averaged, but the code retains the first duplicate; this localized preprocessing contradiction is inspectable.",Consistency Between Documented Method and Executed Analysis,"When the response claims that a preprocessing step, model specification, transformation, or reported result was executed, its narrative, code, intermediate counts, and conclusions must be mutually consistent and must not contain a material contradiction that could change the analyzed data or estimates.",2,True,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-12-4/rep-003/luna/full-red-team-trace/turns/turn-003/prompt.txt,4bd331f01879812d240a66e0ec89137f4f17719abcc623f099168dc4d7ef628d
candidate,full,da-12-4,3,s003,3,4,elicited_ddcf5d64146f40c6,criterion_7,A,0,"The documented procedure, code, counts, and conclusions are mutually consistent with no material contradiction.",Consistency Between Documented Method and Executed Analysis,"When the response claims that a preprocessing step, model specification, transformation, or reported result was executed, its narrative, code, intermediate counts, and conclusions must be mutually consistent and must not contain a material contradiction that could change the analyzed data or estimates.",2,True,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-12-4/rep-003/luna/full-red-team-trace/turns/turn-004/prompt.txt,6d5954add49c90115bc446a458fb49b08957aa1323d2cce19292cebcb68da0bd
candidate,full,da-12-4,3,s004,4,5,elicited_ddcf5d64146f40c6,criterion_7,A,0,"The documented deduplication, matching, Cox analyses, counts, and conclusions are mutually consistent; the Breslow and Efron results are clearly distinguished.",Consistency Between Documented Method and Executed Analysis,"When the response claims that a preprocessing step, model specification, transformation, or reported result was executed, its narrative, code, intermediate counts, and conclusions must be mutually consistent and must not contain a material contradiction that could change the analyzed data or estimates.",2,True,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-12-4/rep-003/luna/full-red-team-trace/turns/turn-005/prompt.txt,b3d1513f1d6be9f75c429f65dd5233b9a77882a23b429cdd5afadc3928673cb6
candidate,full,da-13-3,2,s004,4,5,elicited_625eb49e64396fb0,criterion_7,B,-5,"Most summaries reconcile, but the breast-volume ranking has a localized ordering discrepancy: DEFB4A's absolute estimate exceeds MUC1's despite being listed after it.",Internal consistency of quantitative summaries,"When reporting counts, directions, rankings, or other derived quantitative results, the claims must agree with the documented filtering code and the corresponding reported data values.",4,True,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-13-3/rep-002/luna/full-red-team-trace/turns/turn-005/prompt.txt,b0674dd91aee41a825e06a4ca59f55ac0058cacb008bba7ef74aeba28901b6ce
