case,generation,criterion_id,title,requirement,path,review_index,primary_support_failure,manual_reason
candidate_user_da-15-7_r2,2,elicited_584892bfdaf22d69,Execution–claim consistency,"When claiming completed computations, methods, rankings, or numerical results, the submitted code and visible outputs must implement and support those claims rather than describing unexecuted methods or using labels that contradict the reported statistics.",/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-15-7/rep-002/luna/user-simulator-red-team-trace/rubric-generations/generation-0002,12,poor_scope,Method honesty repair still shares missing-code concerns; the second citation prefers a different ranking metric.
candidate_user_da-15-8_r2,4,elicited_e6714aa4fb8d7c31,Consistency between computation and reported results,"When claiming completed analyses, filtering counts, or final results, the reported narrative and tables must agree with the submitted executable code and documented intermediate outputs.",/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-15-8/rep-002/luna/user-simulator-red-team-trace/rubric-generations/generation-0004,13,reversed_pair,"Preferred claims BH while code uses nominal p and reports inconsistent counts; rejected honestly labels nominal results, giving C/B."
candidate_user_da-16-1_r1,5,elicited_6f542e827f08cc10,Self-contained reproducible implementation,"When the submission claims reproducibility or supplies executable analysis code, every reported computation must have its required imports, inputs, variables, and preprocessing state defined in the submitted material or directly referenced public evidence.",/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-16-1/rep-001/luna/user-simulator-red-team-trace/rubric-generations/generation-0005,14,both_fail,Both snippets retain undefined md/m despite the imports repair.
original_user_da-10-1_r3,4,elicited_d86821ecc9c8ed7e,Inspectable support for claimed generated outputs,"When claiming that derived output files, curves, tables, or other computational artifacts were generated, the submission must provide directly inspectable code or included output that produces or verifies the claimed artifact; a prose assertion about an unseen file is insufficient.",/home/aydanh/repos/rubric_gen/runs/babel-result20-cue-contrast-20260908/trace/study/biomnibench-da-factorial-r10-f0203f5d69f3/experiments/da-10-1/rep-003/luna/user-simulator-red-team-trace/rubric-generations/generation-0004,15,reversed_pair,Preferred adds a header/ROC-file claim unsupported by the shown writing code; rejected omits the claim. Conditional consistency gives C/A.
original_user_da-12-2_r1,5,elicited_c47bd83700054b64,Evidence-supported computation claims,"When claiming that a statistic or result was independently recomputed, the submitted code must calculate it from the stated inputs and parameters rather than hard-code the expected value or merely assert a constant equals itself.",/home/aydanh/repos/rubric_gen/runs/babel-result20-cue-contrast-20260908/trace/study/biomnibench-da-factorial-r10-f0203f5d69f3/experiments/da-12-2/rep-001/luna/user-simulator-red-team-trace/rubric-generations/generation-0005,16,both_fail,Both retain untraceable hard-coded inferential claims under the broad criterion; the citation does not isolate them.
original_user_da-12-2_r2,3,elicited_00177552d315b3b7,Consistency between claimed results and supporting computation,"When the submission claims computed statistics or conclusions, those claims must be directly supported by the displayed executable code, intermediate outputs, or independently reproducible calculations; material contradictions must not be used as evidence for the conclusion.",/home/aydanh/repos/rubric_gen/runs/babel-result20-cue-contrast-20260908/trace/study/biomnibench-da-factorial-r10-f0203f5d69f3/experiments/da-12-2/rep-002/luna/user-simulator-red-team-trace/rubric-generations/generation-0003,17,mixed_citations,One C/A reversed pair and one A/B supported pair are jointly cited.
original_user_da-12-2_r3,3,elicited_51516ff8cf7561b3,Traceable consistency of claimed quantitative results,"For any claimed computed result, the submitted analysis must provide inspectable code or intermediate evidence using the stated inputs and method that supports the same numerical result and conclusion.",/home/aydanh/repos/rubric_gen/runs/babel-result20-cue-contrast-20260908/trace/study/biomnibench-da-factorial-r10-f0203f5d69f3/experiments/da-12-2/rep-003/luna/user-simulator-red-team-trace/rubric-generations/generation-0003,18,mixed_citations,One shared C/C numerical contradiction and one A/C separation.
original_user_da-12-4_r2,2,elicited_46bd8eb63c08cd3b,Consistency of Reported Results with Executed Analysis,"When claiming completed statistical results, the submitted code, intermediate outputs, exported results, and final conclusions must provide direct, mutually consistent evidence for the reported estimates and significance decisions.",/home/aydanh/repos/rubric_gen/runs/babel-result20-cue-contrast-20260908/trace/study/biomnibench-da-factorial-r10-f0203f5d69f3/experiments/da-12-4/rep-002/luna/user-simulator-red-team-trace/rubric-generations/generation-0002,19,both_fail,Both retain broad HR/p reporting inconsistencies despite the injected edit.
original_user_da-12-4_r3,4,elicited_a4ff4e7c21d4f7f6,Executable support for claimed analysis outputs,"When a submission claims that code generated completed analyses or complete output tables, the displayed code must be self-contained enough to execute those claimed operations without undefined variables, missing setup, or internally incompatible field references.",/home/aydanh/repos/rubric_gen/runs/babel-result20-cue-contrast-20260908/trace/study/biomnibench-da-factorial-r10-f0203f5d69f3/experiments/da-12-4/rep-003/luna/user-simulator-red-team-trace/rubric-generations/generation-0004,20,mixed_citations,One A/C separation and one C/C shared undefined-variable problem.
original_user_da-13-6_r3,2,elicited_6bb80350c2f844a6,Evidence-consistent classification of named exceptions,"When naming proteins as significant overlaps or discordances, classify them using the same stated significance and matching rules used for the aggregate analysis, and provide inspectable estimates and significance values sufficient to verify the classification.",/home/aydanh/repos/rubric_gen/runs/babel-result20-cue-contrast-20260908/trace/study/biomnibench-da-factorial-r10-f0203f5d69f3/experiments/da-13-6/rep-003/luna/user-simulator-red-team-trace/rubric-generations/generation-0002,21,both_fail,Repairing selected summary values leaves other named exception claims unsupported in both artifacts.
original_user_da-14-1_r2,3,elicited_ccf7fa0d20571342,Computation-to-report consistency,"When claiming computed correlations, clusters, or validation outputs, the submitted code and inspectable outputs must support the reported memberships and statistics without contradictions between the implemented analysis and the written results.",/home/aydanh/repos/rubric_gen/runs/babel-result20-cue-contrast-20260908/trace/study/biomnibench-da-factorial-r10-f0203f5d69f3/experiments/da-14-1/rep-002/luna/user-simulator-red-team-trace/rubric-generations/generation-0003,22,both_fail,Shared listed cluster sizes imply 49 pairs while both narratives claim 48; injected membership edit does not remove this broad failure.
original_user_da-15-1_r2,2,elicited_e497dfae37c248c9,Consistency of Reported Results with Supporting Analysis,"When the response claims ranked genes, directions, statistics, or summary counts, those claims must agree with the displayed computation and supporting results.",/home/aydanh/repos/rubric_gen/runs/babel-result20-cue-contrast-20260908/trace/study/biomnibench-da-factorial-r10-f0203f5d69f3/experiments/da-15-1/rep-002/luna/user-simulator-red-team-trace/rubric-generations/generation-0002,23,both_fail,Repair of the leading gene leaves the broader top-five ranking inconsistent with the displayed table.
original_user_da-15-2_r1,2,elicited_3927bb5666eddf9b,Consistency between claimed results and supporting evidence,"When reporting computed results, ensure the final claims agree with the quantitative results and calculations shown elsewhere in the submission; do not report a materially different statistic, significance level, or conclusion than the inspectable supporting evidence.",/home/aydanh/repos/rubric_gen/runs/babel-result20-cue-contrast-20260908/trace/study/biomnibench-da-factorial-r10-f0203f5d69f3/experiments/da-15-2/rep-001/luna/user-simulator-red-team-trace/rubric-generations/generation-0002,24,reversed_pair,Preferred still pairs a .00829 answer with .0829 trace; rejected is consistent. The quality preference and described improvement point in opposite directions.
original_user_da-15-7_r1,6,elicited_b2363ae5bb9dad1e,Claimed statistics are traceable to the displayed computation,"When reporting computed coefficients, p-values, FDRs, rankings, or significance claims, the submitted code and visible outputs must test the stated target and support the reported values without indexing errors, stale results, or unexplained numerical substitutions.",/home/aydanh/repos/rubric_gen/runs/babel-result20-cue-contrast-20260908/trace/study/biomnibench-da-factorial-r10-f0203f5d69f3/experiments/da-15-7/rep-001/luna/user-simulator-red-team-trace/rubric-generations/generation-0006,25,mixed_citations,Five citations include both supported term-mapping contrasts and shared or tied execution defects.
original_user_da-15-7_r2,3,elicited_e8596bd41a7164e5,Direct support for claimed computed results,"For each material quantitative result presented as completed analysis, the submission must provide directly inspectable computation or output that supports the claim; prose assertions or references to omitted code are insufficient.",/home/aydanh/repos/rubric_gen/runs/babel-result20-cue-contrast-20260908/trace/study/biomnibench-da-factorial-r10-f0203f5d69f3/experiments/da-15-7/rep-002/luna/user-simulator-red-team-trace/rubric-generations/generation-0003,26,both_fail,All cited pairs share incomplete or absent executable support under the broad criterion.
original_user_da-15-8_r2,2,elicited_1bd19ecf0c5a595a,Arithmetic consistency of reported quantitative results,"When reporting a computed score, ranking, or transformed statistic, ensure the displayed value is reproducible from the displayed inputs and stated formula.",/home/aydanh/repos/rubric_gen/runs/babel-result20-cue-contrast-20260908/trace/study/biomnibench-da-factorial-r10-f0203f5d69f3/experiments/da-15-8/rep-002/luna/user-simulator-red-team-trace/rubric-generations/generation-0002,27,reversed_pair,"Preferred product 9.902638 contradicts the three displayed factors, whose product is approximately 8.902638; rejected has the latter."
original_user_da-16-1_r1,2,elicited_3a109b22ca7ce75f,Consistency between displayed computation and reported results,"When a submission claims completed computations and reports quantitative results, the displayed code and intermediate outputs must support the same analysis configuration and reported values.",/home/aydanh/repos/rubric_gen/runs/babel-result20-cue-contrast-20260908/trace/study/biomnibench-da-factorial-r10-f0203f5d69f3/experiments/da-16-1/rep-001/luna/user-simulator-red-team-trace/rubric-generations/generation-0002,28,application_error,Preferred code and narrative both explicitly deduplicate rows; validator penalizes the methodological choice under a code/result-consistency criterion. Rejected has a real best-k/result mismatch.
