case,sidecars_with_hash_pair,duplicate_pairs
candidate_user_da-14-3_r2,3,0
candidate_user_da-14-3_r3,3,0
candidate_user_da-14-8_r1,8,0
candidate_user_da-14-8_r2,7,0
candidate_user_da-14-8_r3,3,0
candidate_user_da-15-1_r1,9,0
candidate_user_da-15-1_r2,9,0
candidate_user_da-15-1_r3,9,0
candidate_user_da-15-2_r1,9,0
candidate_user_da-15-2_r2,9,0
candidate_user_da-15-2_r3,9,0
candidate_user_da-15-7_r1,9,0
candidate_user_da-15-7_r2,9,0
candidate_user_da-15-7_r3,9,0
candidate_user_da-15-8_r1,9,0
candidate_user_da-15-8_r2,9,0
candidate_user_da-15-8_r3,4,0
candidate_user_da-16-1_r1,9,0
candidate_user_da-16-1_r2,4,0
candidate_user_da-16-1_r3,3,0
candidate_user_da-18-5_r1,3,0
candidate_user_da-18-5_r2,3,0
candidate_user_da-18-5_r3,9,0
candidate_user_da-18-7_r1,8,0
candidate_user_da-18-7_r2,9,0
candidate_user_da-18-7_r3,3,0
candidate_user_da-19-1_r1,3,0
candidate_user_da-19-1_r2,3,0
candidate_user_da-19-1_r3,3,0
candidate_user_da-19-6_r1,8,0
candidate_user_da-19-6_r2,3,0
candidate_user_da-19-6_r3,5,0
original_full_da-10-1_r1,5,0
original_full_da-10-1_r2,6,0
original_full_da-10-1_r3,3,0
original_full_da-10-3_r1,3,0
original_full_da-10-3_r2,3,0
original_full_da-10-3_r3,3,0
original_full_da-12-2_r1,8,0
original_full_da-12-2_r2,4,0
original_full_da-12-2_r3,3,0
original_full_da-12-4_r1,3,0
original_full_da-12-4_r2,3,0
original_full_da-12-4_r3,5,0
original_full_da-13-1_r1,3,0
original_full_da-13-1_r2,3,0
original_full_da-13-1_r3,3,0
original_full_da-13-3_r1,3,0
original_full_da-13-3_r2,3,0
original_full_da-13-3_r3,3,0
original_full_da-13-5_r1,3,0
original_full_da-13-5_r2,3,0
original_full_da-13-5_r3,4,0
original_full_da-13-6_r1,3,0
original_full_da-13-6_r2,3,0
original_full_da-13-6_r3,3,0
original_full_da-14-1_r1,3,0
original_full_da-14-1_r2,3,0
original_full_da-14-1_r3,3,0
original_full_da-14-3_r1,3,0
original_full_da-14-3_r2,3,0
original_full_da-14-3_r3,3,0
original_full_da-14-8_r1,3,0
original_full_da-14-8_r2,3,0
original_full_da-14-8_r3,3,0
original_full_da-15-1_r1,3,0
original_full_da-15-1_r2,4,0
original_full_da-15-1_r3,3,0
original_full_da-15-2_r1,3,0
original_full_da-15-2_r2,7,0
original_full_da-15-2_r3,3,0
original_full_da-15-7_r1,5,0
original_full_da-15-7_r2,6,0
original_full_da-15-7_r3,4,0
original_full_da-15-8_r1,3,0
original_full_da-15-8_r2,3,0
original_full_da-15-8_r3,3,0
original_full_da-16-1_r2,3,0
original_full_da-16-1_r3,3,0
original_full_da-18-5_r1,3,0
original_full_da-18-5_r2,3,0
original_full_da-18-5_r3,3,0
original_full_da-18-7_r1,3,0
original_full_da-18-7_r2,3,0
original_full_da-18-7_r3,3,0
original_full_da-19-1_r1,3,0
original_full_da-19-1_r2,3,0
original_full_da-19-1_r3,3,0
original_full_da-19-6_r1,3,0
original_full_da-19-6_r2,5,0
original_full_da-19-6_r3,5,0
original_user_da-10-1_r1,9,0
original_user_da-10-1_r2,3,0
original_user_da-10-1_r3,9,0
original_user_da-10-3_r1,9,0
original_user_da-10-3_r2,9,0
original_user_da-10-3_r3,9,0
original_user_da-12-2_r1,5,0
original_user_da-12-2_r2,9,0
original_user_da-12-2_r3,9,0
original_user_da-12-4_r1,9,0
original_user_da-12-4_r2,9,0
original_user_da-12-4_r3,8,0
original_user_da-13-1_r1,6,0
original_user_da-13-1_r2,9,0
original_user_da-13-1_r3,7,0
original_user_da-13-3_r1,3,0
original_user_da-13-3_r2,3,0
original_user_da-13-3_r3,3,0
original_user_da-13-5_r1,3,0
original_user_da-13-5_r2,3,0
original_user_da-13-5_r3,4,0
original_user_da-13-6_r1,6,0
original_user_da-13-6_r2,5,0
original_user_da-13-6_r3,3,0
original_user_da-14-1_r1,9,0
original_user_da-14-1_r2,9,0
original_user_da-14-1_r3,4,0
original_user_da-14-3_r1,3,0
original_user_da-14-3_r2,3,0
original_user_da-14-3_r3,3,0
original_user_da-14-8_r1,4,0
original_user_da-14-8_r2,9,0
original_user_da-14-8_r3,7,0
original_user_da-15-1_r1,3,0
original_user_da-15-1_r2,9,0
original_user_da-15-1_r3,3,0
original_user_da-15-2_r1,9,0
original_user_da-15-2_r2,9,0
original_user_da-15-2_r3,9,0
original_user_da-15-7_r1,9,0
original_user_da-15-7_r2,9,0
original_user_da-15-7_r3,5,0
original_user_da-15-8_r1,3,0
original_user_da-15-8_r2,7,0
original_user_da-15-8_r3,3,0
original_user_da-16-1_r1,9,0
original_user_da-16-1_r2,5,0
original_user_da-16-1_r3,9,0
original_user_da-18-5_r1,3,0
original_user_da-18-5_r2,4,0
original_user_da-18-5_r3,3,0
original_user_da-18-7_r1,5,0
original_user_da-18-7_r2,3,0
original_user_da-18-7_r3,6,0
original_user_da-19-1_r1,3,0
original_user_da-19-1_r2,3,0
original_user_da-19-1_r3,3,0
original_user_da-19-6_r1,9,0
original_user_da-19-6_r2,9,0
original_user_da-19-6_r3,9,0
