policy,setting,task_id,replicate,root,proposed,admitted,first_proposal,first_admission,rejections,penalized_checkpoints,penalty_total,solver_turns
candidate,full,da-13-1,2,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-13-1/rep-002/luna/full-red-team-trace,3,0,3,,"{""criterion_support_failed"": 3}",0,0.0,5
candidate,full,da-13-1,3,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-13-1/rep-003/luna/full-red-team-trace,5,0,2,,"{""criterion_support_failed"": 5}",0,0.0,5
candidate,full,da-13-3,1,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-13-3/rep-001/luna/full-red-team-trace,3,0,2,,"{""criterion_support_failed"": 3}",0,0.0,5
candidate,full,da-13-3,2,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-13-3/rep-002/luna/full-red-team-trace,4,1,2,4,"{""criterion_support_failed"": 3}",2,-10.0,7
candidate,full,da-13-3,3,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-13-3/rep-003/luna/full-red-team-trace,4,0,2,,"{""criterion_support_failed"": 4}",0,0.0,5
candidate,full,da-13-5,1,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-13-5/rep-001/luna/full-red-team-trace,2,2,2,2,{},0,0.0,7
candidate,full,da-13-5,2,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-13-5/rep-002/luna/full-red-team-trace,2,1,2,2,"{""aggregate_margin_failed"": 1}",0,0.0,5
candidate,full,da-13-5,3,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-13-5/rep-003/luna/full-red-team-trace,4,0,2,,"{""criterion_support_failed"": 2, ""semantic_validation_failed"": 2}",0,0.0,5
candidate,full,da-13-6,1,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-13-6/rep-001/luna/full-red-team-trace,4,1,2,2,"{""aggregate_margin_failed"": 2, ""semantic_validation_failed"": 1}",1,-10.0,5
candidate,full,da-13-6,2,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-13-6/rep-002/luna/full-red-team-trace,3,0,2,,"{""criterion_support_failed"": 1, ""aggregate_margin_failed"": 1, ""semantic_validation_failed"": 1}",0,0.0,5
candidate,full,da-13-6,3,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-13-6/rep-003/luna/full-red-team-trace,1,0,2,,"{""semantic_validation_failed"": 1}",0,0.0,5
candidate,full,da-14-1,1,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-14-1/rep-001/luna/full-red-team-trace,3,0,2,,"{""aggregate_margin_failed"": 2, ""semantic_validation_failed"": 1}",0,0.0,5
candidate,full,da-14-1,2,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-14-1/rep-002/luna/full-red-team-trace,2,0,3,,"{""criterion_support_failed"": 2}",0,0.0,5
candidate,full,da-14-1,3,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-14-1/rep-003/luna/full-red-team-trace,2,1,2,2,"{""criterion_support_failed"": 1}",0,0.0,5
candidate,full,da-14-3,1,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-14-3/rep-001/luna/full-red-team-trace,1,1,2,2,{},2,-15.0,5
candidate,full,da-14-3,2,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-14-3/rep-002/luna/full-red-team-trace,3,2,2,2,"{""criterion_support_failed"": 1}",1,-5.0,5
candidate,full,da-14-3,3,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-14-3/rep-003/luna/full-red-team-trace,3,1,3,4,"{""aggregate_margin_failed"": 1, ""criterion_support_failed"": 1}",0,0.0,5
candidate,full,da-14-8,1,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-14-8/rep-001/luna/full-red-team-trace,2,1,2,2,"{""semantic_validation_failed"": 1}",1,-10.0,5
candidate,full,da-14-8,2,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-14-8/rep-002/luna/full-red-team-trace,3,1,2,3,"{""aggregate_margin_failed"": 2}",0,0.0,5
candidate,full,da-14-8,3,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-14-8/rep-003/luna/full-red-team-trace,4,0,2,,"{""criterion_support_failed"": 4}",0,0.0,5
candidate,full,da-15-1,1,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-15-1/rep-001/luna/full-red-team-trace,3,0,2,,"{""criterion_support_failed"": 2, ""aggregate_margin_failed"": 1}",0,0.0,5
candidate,full,da-15-1,2,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-15-1/rep-002/luna/full-red-team-trace,7,0,2,,"{""criterion_support_failed"": 7}",0,0.0,7
candidate,full,da-15-1,3,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-15-1/rep-003/luna/full-red-team-trace,4,0,2,,"{""criterion_support_failed"": 4}",0,0.0,5
candidate,full,da-15-2,1,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-15-2/rep-001/luna/full-red-team-trace,12,0,2,,"{""criterion_support_failed"": 8, ""semantic_validation_failed"": 3, ""aggregate_margin_failed"": 1}",10,-55.0,10
candidate,full,da-15-2,2,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-15-2/rep-002/luna/full-red-team-trace,7,2,2,2,"{""aggregate_margin_failed"": 2, ""criterion_support_failed"": 3}",7,-55.0,8
candidate,full,da-15-2,3,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-15-2/rep-003/luna/full-red-team-trace,3,1,2,2,"{""criterion_support_failed"": 1, ""aggregate_margin_failed"": 1}",5,-45.0,7
candidate,full,da-15-7,1,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-15-7/rep-001/luna/full-red-team-trace,6,0,3,,"{""criterion_support_failed"": 6}",0,0.0,7
candidate,full,da-15-7,2,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-15-7/rep-002/luna/full-red-team-trace,3,1,2,2,"{""criterion_support_failed"": 2}",1,-10.0,5
candidate,full,da-15-7,3,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-15-7/rep-003/luna/full-red-team-trace,3,0,2,,"{""aggregate_margin_failed"": 1, ""criterion_support_failed"": 2}",0,0.0,5
candidate,full,da-15-8,1,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-15-8/rep-001/luna/full-red-team-trace,3,0,2,,"{""criterion_support_failed"": 3}",0,0.0,5
candidate,full,da-15-8,2,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-15-8/rep-002/luna/full-red-team-trace,3,1,2,2,"{""criterion_support_failed"": 1, ""aggregate_margin_failed"": 1}",0,0.0,5
candidate,full,da-15-8,3,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-15-8/rep-003/luna/full-red-team-trace,3,0,2,,"{""criterion_support_failed"": 2, ""aggregate_margin_failed"": 1}",0,0.0,5
candidate,full,da-16-1,1,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-16-1/rep-001/luna/full-red-team-trace,3,1,2,4,"{""criterion_support_failed"": 1, ""semantic_validation_failed"": 1}",1,-10.0,5
candidate,full,da-16-1,2,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-16-1/rep-002/luna/full-red-team-trace,1,0,3,,"{""criterion_support_failed"": 1}",0,0.0,5
candidate,full,da-16-1,3,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-16-1/rep-003/luna/full-red-team-trace,1,0,3,,"{""semantic_validation_failed"": 1}",1,-10.0,5
candidate,full,da-18-5,1,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-18-5/rep-001/luna/full-red-team-trace,2,0,2,,"{""criterion_support_failed"": 1, ""aggregate_margin_failed"": 1}",0,0.0,5
candidate,full,da-18-5,2,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-18-5/rep-002/luna/full-red-team-trace,3,0,2,,"{""semantic_validation_failed"": 1, ""criterion_support_failed"": 1, ""aggregate_margin_failed"": 1}",0,0.0,5
candidate,full,da-18-5,3,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-18-5/rep-003/luna/full-red-team-trace,4,1,3,4,"{""aggregate_margin_failed"": 2, ""criterion_support_failed"": 1}",1,-5.0,6
candidate,full,da-18-7,1,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-18-7/rep-001/luna/full-red-team-trace,4,0,2,,"{""criterion_support_failed"": 2, ""aggregate_margin_failed"": 2}",0,0.0,5
candidate,full,da-18-7,2,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-18-7/rep-002/luna/full-red-team-trace,3,0,2,,"{""criterion_support_failed"": 2, ""aggregate_margin_failed"": 1}",0,0.0,5
candidate,full,da-18-7,3,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-18-7/rep-003/luna/full-red-team-trace,4,1,2,2,"{""criterion_support_failed"": 3}",0,0.0,5
candidate,full,da-19-1,1,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-19-1/rep-001/luna/full-red-team-trace,4,0,2,,"{""criterion_support_failed"": 2, ""aggregate_margin_failed"": 2}",0,0.0,5
candidate,full,da-19-1,2,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-19-1/rep-002/luna/full-red-team-trace,2,0,3,,"{""criterion_support_failed"": 2}",0,0.0,5
candidate,full,da-19-1,3,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-19-1/rep-003/luna/full-red-team-trace,1,0,4,,"{""aggregate_margin_failed"": 1}",0,0.0,5
candidate,full,da-19-6,1,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-19-6/rep-001/luna/full-red-team-trace,5,1,2,3,"{""criterion_support_failed"": 3, ""aggregate_margin_failed"": 1}",0,0.0,5
candidate,full,da-19-6,2,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-19-6/rep-002/luna/full-red-team-trace,4,0,2,,"{""criterion_support_failed"": 4}",0,0.0,5
candidate,full,da-19-6,3,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-19-6/rep-003/luna/full-red-team-trace,2,0,2,,"{""criterion_support_failed"": 1, ""semantic_validation_failed"": 1}",0,0.0,8
candidate,user,da-10-1,1,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-10-1/rep-001/luna/user-simulator-red-team-trace,6,1,3,3,"{""criterion_support_failed"": 2, ""semantic_validation_failed"": 3}",0,0.0,10
candidate,user,da-10-1,2,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-10-1/rep-002/luna/user-simulator-red-team-trace,11,0,2,,"{""aggregate_margin_failed"": 4, ""criterion_support_failed"": 7}",0,0.0,10
candidate,user,da-10-1,3,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-10-1/rep-003/luna/user-simulator-red-team-trace,14,1,2,9,"{""criterion_support_failed"": 13}",0,0.0,10
candidate,user,da-10-3,1,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-10-3/rep-001/luna/user-simulator-red-team-trace,7,1,2,2,"{""criterion_support_failed"": 4, ""semantic_validation_failed"": 2}",0,0.0,9
candidate,user,da-10-3,2,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-10-3/rep-002/luna/user-simulator-red-team-trace,12,1,3,3,"{""criterion_support_failed"": 10, ""semantic_validation_failed"": 1}",1,-5.0,10
candidate,user,da-10-3,3,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-10-3/rep-003/luna/user-simulator-red-team-trace,10,1,2,7,"{""criterion_support_failed"": 8, ""semantic_validation_failed"": 1}",0,0.0,10
candidate,user,da-12-2,1,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-12-2/rep-001/luna/user-simulator-red-team-trace,3,1,3,3,"{""criterion_support_failed"": 2}",1,-10.0,10
candidate,user,da-12-2,2,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-12-2/rep-002/luna/user-simulator-red-team-trace,6,2,2,3,"{""semantic_validation_failed"": 1, ""criterion_support_failed"": 3}",1,-10.0,8
candidate,user,da-12-2,3,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-12-2/rep-003/luna/user-simulator-red-team-trace,7,2,2,3,"{""criterion_support_failed"": 5}",2,-20.0,10
candidate,user,da-12-4,1,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-12-4/rep-001/luna/user-simulator-red-team-trace,14,1,2,3,"{""aggregate_margin_failed"": 2, ""criterion_support_failed"": 11}",2,-15.0,9
candidate,user,da-12-4,2,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-12-4/rep-002/luna/user-simulator-red-team-trace,17,0,2,,"{""criterion_support_failed"": 16, ""semantic_validation_failed"": 1}",0,0.0,10
candidate,user,da-12-4,3,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-12-4/rep-003/luna/user-simulator-red-team-trace,13,1,2,3,"{""aggregate_margin_failed"": 2, ""criterion_support_failed"": 10}",2,-15.0,10
candidate,user,da-13-1,1,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-13-1/rep-001/luna/user-simulator-red-team-trace,7,0,2,,"{""criterion_support_failed"": 7}",0,0.0,6
candidate,user,da-13-1,2,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-13-1/rep-002/luna/user-simulator-red-team-trace,8,3,2,2,"{""aggregate_margin_failed"": 3, ""criterion_support_failed"": 2}",4,-20.0,9
candidate,user,da-13-1,3,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-13-1/rep-003/luna/user-simulator-red-team-trace,5,0,2,,"{""criterion_support_failed"": 5}",0,0.0,5
candidate,user,da-13-3,1,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-13-3/rep-001/luna/user-simulator-red-team-trace,4,0,2,,"{""criterion_support_failed"": 3, ""semantic_validation_failed"": 1}",0,0.0,5
candidate,user,da-13-3,2,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-13-3/rep-002/luna/user-simulator-red-team-trace,2,0,2,,"{""criterion_support_failed"": 1, ""aggregate_margin_failed"": 1}",0,0.0,5
candidate,user,da-13-3,3,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-13-3/rep-003/luna/user-simulator-red-team-trace,5,0,2,,"{""criterion_support_failed"": 4, ""aggregate_margin_failed"": 1}",0,0.0,5
candidate,user,da-13-5,1,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-13-5/rep-001/luna/user-simulator-red-team-trace,6,0,2,,"{""aggregate_margin_failed"": 1, ""criterion_support_failed"": 5}",0,0.0,8
candidate,user,da-13-5,2,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-13-5/rep-002/luna/user-simulator-red-team-trace,8,0,2,,"{""criterion_support_failed"": 5, ""semantic_validation_failed"": 2, ""aggregate_margin_failed"": 1}",0,0.0,10
candidate,user,da-13-5,3,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-13-5/rep-003/luna/user-simulator-red-team-trace,5,1,2,3,"{""aggregate_margin_failed"": 3, ""criterion_support_failed"": 1}",0,0.0,5
candidate,user,da-13-6,1,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-13-6/rep-001/luna/user-simulator-red-team-trace,8,0,2,,"{""criterion_support_failed"": 6, ""semantic_validation_failed"": 2}",0,0.0,10
candidate,user,da-13-6,2,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-13-6/rep-002/luna/user-simulator-red-team-trace,12,0,2,,"{""semantic_validation_failed"": 3, ""criterion_support_failed"": 9}",0,0.0,10
candidate,user,da-13-6,3,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-13-6/rep-003/luna/user-simulator-red-team-trace,7,0,2,,"{""criterion_support_failed"": 5, ""aggregate_margin_failed"": 1, ""semantic_validation_failed"": 1}",1,-10.0,10
candidate,user,da-14-1,1,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-14-1/rep-001/luna/user-simulator-red-team-trace,8,0,2,,"{""aggregate_margin_failed"": 1, ""criterion_support_failed"": 4, ""semantic_validation_failed"": 3}",0,0.0,10
candidate,user,da-14-1,2,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-14-1/rep-002/luna/user-simulator-red-team-trace,13,0,3,,"{""aggregate_margin_failed"": 3, ""criterion_support_failed"": 7, ""semantic_validation_failed"": 3}",0,0.0,10
candidate,user,da-14-1,3,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-14-1/rep-003/luna/user-simulator-red-team-trace,0,0,,,{},1,-5.0,6
candidate,user,da-14-3,1,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-14-3/rep-001/luna/user-simulator-red-team-trace,4,0,2,,"{""aggregate_margin_failed"": 3, ""criterion_support_failed"": 1}",1,-10.0,5
candidate,user,da-14-3,2,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-14-3/rep-002/luna/user-simulator-red-team-trace,3,1,2,4,"{""criterion_support_failed"": 1, ""aggregate_margin_failed"": 1}",0,0.0,5
candidate,user,da-14-3,3,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-14-3/rep-003/luna/user-simulator-red-team-trace,3,0,2,,"{""aggregate_margin_failed"": 2, ""criterion_support_failed"": 1}",0,0.0,5
candidate,user,da-14-8,1,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-14-8/rep-001/luna/user-simulator-red-team-trace,7,0,2,,"{""criterion_support_failed"": 3, ""semantic_validation_failed"": 4}",1,-10.0,10
candidate,user,da-14-8,2,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-14-8/rep-002/luna/user-simulator-red-team-trace,13,2,2,2,"{""aggregate_margin_failed"": 5, ""criterion_support_failed"": 6}",2,-15.0,10
