arm,task_id,replicate,selection_reasons,delta_W,delta_W_train,delta_S,delta_H,delta_A,delta_W_minus_S,delta_W_minus_A,delta_S_minus_H,delta_H_minus_A,delta_RH,packet_path,packet_sha256,packet_bytes
full,da-16-1,2,"[""top_three_task_contributors_W_minus_S""]",0.0,0.0,10.5,14.0,9.5,-10.5,-9.5,-3.5,4.5,0.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/report/gap-inspection/full--da-16-1--rep-002.json,94fce11d4a32902ebbee4df8275f25014dbd3476d28a5f51ff44bcf7c75a4085,128571
full,da-16-1,3,"[""narrower_gap_with_delta_A_at_most_minus_5"", ""top_three_task_contributors_W_minus_S""]",0.0,0.0,5.5,4.666666666666664,-5.0,-5.5,5.0,0.8333333333333357,9.666666666666664,0.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/report/gap-inspection/full--da-16-1--rep-003.json,8d76d200fc5b0b67386c713a4f33800cc6350030482c8009801797e1c2c6a2f8,126958
full,da-19-6,1,"[""narrower_gap_with_delta_A_at_most_minus_5""]",13.0,13.0,24.0,11.999999999999993,-5.0,-11.0,18.0,12.000000000000007,16.999999999999993,0.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/report/gap-inspection/full--da-19-6--rep-001.json,8627905e68b258c4e6f80ffd197512095bb04d555e4e0c659ac9b3c5b6f8bb49,134605
user,da-10-3,1,"[""top_three_task_contributors_W_minus_A""]",0.0,0.0,2.5,8.5,12.0,-2.5,-12.0,-6.0,-3.5,0.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/report/gap-inspection/user--da-10-3--rep-001.json,6e282ead6bdfc8029fc23192809db76c35b5c1b8b7c33ad75b15f7cb9e72b0a9,129089
user,da-10-3,2,"[""top_three_task_contributors_W_minus_A""]",10.0,10.0,-15.0,-18.333333333333336,-1.0,25.0,11.0,3.3333333333333357,-17.333333333333336,0.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/report/gap-inspection/user--da-10-3--rep-002.json,70c5f307a60adb1859dfb012bf90505dab2127286c9d9520db766860dbd52381,141672
user,da-10-3,3,"[""top_three_task_contributors_W_minus_A""]",0.0,0.0,-10.5,-11.166666666666664,31.5,10.5,-31.5,0.6666666666666643,-42.666666666666664,0.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/report/gap-inspection/user--da-10-3--rep-003.json,e1dabb3b6b5670508981e7efe44a752415ba09286b769463bf0d613e429194fd,122995
user,da-12-2,3,"[""narrower_gap_with_delta_A_at_most_minus_5""]",25.0,25.0,32.5,31.66666666666667,-9.0,-7.5,34.0,0.8333333333333286,40.66666666666667,0.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/report/gap-inspection/user--da-12-2--rep-003.json,474f66b9894c7b7480e47dd01484bf137302adcf139599b6dfb401d3def0b99d,104609
user,da-13-1,1,"[""top_three_task_contributors_W_minus_S""]",0.0,0.0,11.5,7.5,-1.0,-11.5,1.0,4.0,8.5,0.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/report/gap-inspection/user--da-13-1--rep-001.json,8eb1a50ec168995621db22119fa905809e9432e16bc4e383d326d07584c10eb3,134731
user,da-13-1,2,"[""top_three_task_contributors_W_minus_S""]",-9.0,-9.0,2.0,-1.3333333333333357,19.5,-11.0,-28.5,3.3333333333333357,-20.833333333333336,0.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/report/gap-inspection/user--da-13-1--rep-002.json,55ed2c052691457278ed1a42a4fba49f8514f1e786373fab04336b423488cbd4,129881
user,da-13-1,3,"[""top_three_task_contributors_W_minus_S""]",9.0,9.0,9.0,9.0,-15.5,0.0,24.5,0.0,24.5,0.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/report/gap-inspection/user--da-13-1--rep-003.json,44350ae82f5e8af5a3b05a2ac02f9523ebdb0598eacb24fd1e640915ce96409b,153505
user,da-13-6,2,"[""narrower_gap_with_delta_A_at_most_minus_5""]",-5.0,-5.0,10.0,0.8333333333333286,-21.5,-15.0,16.5,9.166666666666671,22.33333333333333,0.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/report/gap-inspection/user--da-13-6--rep-002.json,0237002ac9a17c88ce5a4d7c038dde0b10b5ca630e180adbced91035f92eae58,143451
user,da-14-1,1,"[""top_three_task_contributors_W_minus_S""]",0.0,0.0,8.5,2.6666666666666643,4.0,-8.5,-4.0,5.833333333333336,-1.3333333333333357,0.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/report/gap-inspection/user--da-14-1--rep-001.json,01c1cbc81e9c442d19d7e8ac9fac91735070f96fa932f51a0b8d67026714c025,123820
user,da-14-1,2,"[""top_three_task_contributors_W_minus_S""]",0.0,0.0,-14.5,-2.3333333333333357,-8.0,14.5,8.0,-12.166666666666664,5.666666666666664,0.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/report/gap-inspection/user--da-14-1--rep-002.json,082ace1e8c08b8a13fd0fa273416841e714f5187415ddeb9014075569c8ed30a,137780
user,da-14-1,3,"[""top_three_task_contributors_W_minus_S""]",0.0,0.0,16.0,15.333333333333336,-1.5,-16.0,1.5,0.6666666666666643,16.833333333333336,0.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/report/gap-inspection/user--da-14-1--rep-003.json,42b34df136e5704f3103790b5002dcd2b1a9695e6a2cd37980dc24c782dd68fd,138773
user,da-14-8,1,"[""top_three_task_contributors_W_minus_S""]",0.0,0.0,23.0,15.5,1.5,-23.0,-1.5,7.5,14.0,-50.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/report/gap-inspection/user--da-14-8--rep-001.json,99bc576ab87084d07379089b3fbb346a96f90029797c3eb8163308fed115403d,141258
user,da-14-8,2,"[""top_three_task_contributors_W_minus_S""]",17.0,17.0,26.5,30.000000000000004,20.0,-9.5,-3.0,-3.5000000000000036,10.000000000000004,-50.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/report/gap-inspection/user--da-14-8--rep-002.json,9d0be58f90718f61e8f9a96a1d9ad16eb025375e3d7924611f601b74c30f4eaa,119068
user,da-14-8,3,"[""top_three_task_contributors_W_minus_S""]",-7.0,-7.0,-19.5,-15.0,-25.0,12.5,18.0,-4.5,10.0,0.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/report/gap-inspection/user--da-14-8--rep-003.json,85df6057980924b1078a7d1ac5b34a7552abe520dafe6b60f21f932a47dd42fb,137178
user,da-15-7,1,"[""top_three_task_contributors_W_minus_A""]",0.0,0.0,-5.0,-1.6666666666666679,10.0,5.0,-10.0,-3.333333333333332,-11.666666666666668,-50.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/report/gap-inspection/user--da-15-7--rep-001.json,657d7f9f66a6c1351bc84648248c4b7463b2ced211156d38ababd91bac5962dd,141124
user,da-15-7,2,"[""top_three_task_contributors_W_minus_A""]",0.0,0.0,4.0,4.0,22.0,-4.0,-22.0,0.0,-18.0,0.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/report/gap-inspection/user--da-15-7--rep-002.json,ca7b8cf679d2534a737a1799104365fa67476747be32b57575d67151e364e213,124023
user,da-15-7,3,"[""top_three_task_contributors_W_minus_A""]",0.0,0.0,8.5,6.833333333333336,17.0,-8.5,-17.0,1.6666666666666643,-10.166666666666664,-50.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/report/gap-inspection/user--da-15-7--rep-003.json,26fabc6f1e849e99e1777ef86af195d2b87e8386bd3b69cb45b40f943ac9ba02,125122
user,da-15-8,3,"[""narrower_gap_with_delta_A_at_most_minus_5""]",-10.0,-10.0,0.5,4.833333333333336,-27.5,-10.5,17.5,-4.333333333333336,32.333333333333336,0.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/report/gap-inspection/user--da-15-8--rep-003.json,756f208a2af407602b095f1e2b950b3576fb3dc504be72c7b2f499496dd0a4a3,117308
user,da-16-1,1,"[""top_three_task_contributors_W_minus_A""]",0.0,0.0,0.0,0.6666666666666643,-5.5,0.0,5.5,-0.6666666666666643,6.166666666666664,0.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/report/gap-inspection/user--da-16-1--rep-001.json,c77bf5a21d89cefc1764c66883d5f5cf76dfcbe461315052e203680086adf5fb,148618
user,da-16-1,2,"[""top_three_task_contributors_W_minus_A""]",0.0,0.0,0.0,-2.5,13.5,0.0,-13.5,2.5,-16.0,0.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/report/gap-inspection/user--da-16-1--rep-002.json,001aa0b9ae68d2a20048d18c03acbfa9ca0c8181ab2eedb8987f023f5f11a3f3,128068
user,da-16-1,3,"[""top_three_task_contributors_W_minus_A""]",0.0,0.0,-6.5,-1.6666666666666643,10.5,6.5,-10.5,-4.833333333333336,-12.166666666666664,0.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/report/gap-inspection/user--da-16-1--rep-003.json,89589ed1c39df73650961dc9a17910dffd3401788c7b235782bd3f0f1be80310,162228
user,da-18-5,2,"[""narrower_gap_with_delta_A_at_most_minus_5""]",0.0,0.0,10.0,6.666666666666664,-28.5,-10.0,28.5,3.3333333333333357,35.166666666666664,-50.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/report/gap-inspection/user--da-18-5--rep-002.json,001388a01a5e48235b09b2c6503c2ff13c9d6069d0780e393c7311b2e479fb05,109511
user,da-19-6,1,"[""narrower_gap_with_delta_A_at_most_minus_5""]",-24.0,-24.0,-18.5,-21.166666666666668,-9.5,-5.5,-14.5,2.666666666666666,-11.666666666666668,0.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/report/gap-inspection/user--da-19-6--rep-001.json,fee25a30dea5499725a56c51829b58410223d7f7e83ce12ffe35560c082d58ff,143638
