variant,task_id,replicate,generation,criterion_id,accepted,reason,first_failed_margin,source
v21,da-15-1,3,8,elicited_30b1cdea9e3bb293,False,aggregate_margin_failed,"{""current_margin"": 10, ""pair_id"": ""pair_7b5aeaac1815d218"", ""passed"": false, ""prospective_margin"": 5, ""strict_improvement_required"": false, ""view"": ""active_rubric""}",/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-15-1/study/biomnibench-da-factorial-r10-9a077f8c8346/experiments/da-15-1/rep-003/luna/user-simulator-red-team-trace/rubric-generations/generation-0008/aggregate-margins.json
v21,da-15-1,3,11,elicited_4149b2ff9a0ddaa9,False,criterion_support_failed,null,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-15-1/study/biomnibench-da-factorial-r10-9a077f8c8346/experiments/da-15-1/rep-003/luna/user-simulator-red-team-trace/rubric-generations/generation-0011/aggregate-margins.json
v21,da-13-6,1,2,elicited_4203cba1e5050ea2,False,criterion_support_failed,null,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-13-6/study/biomnibench-da-factorial-r10-0cc10d3cda04/experiments/da-13-6/rep-001/luna/user-simulator-red-team-trace/rubric-generations/generation-0002/aggregate-margins.json
v21,da-13-6,1,3,elicited_04d4d3fcf1fb409f,False,criterion_support_failed,null,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-13-6/study/biomnibench-da-factorial-r10-0cc10d3cda04/experiments/da-13-6/rep-001/luna/user-simulator-red-team-trace/rubric-generations/generation-0003/aggregate-margins.json
v21,da-13-6,1,4,elicited_c471512edee97976,True,accepted,null,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-13-6/study/biomnibench-da-factorial-r10-0cc10d3cda04/experiments/da-13-6/rep-001/luna/user-simulator-red-team-trace/rubric-generations/generation-0004/aggregate-margins.json
v21,da-13-6,1,5,elicited_d03a004edfbe7836,False,criterion_support_failed,null,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-13-6/study/biomnibench-da-factorial-r10-0cc10d3cda04/experiments/da-13-6/rep-001/luna/user-simulator-red-team-trace/rubric-generations/generation-0005/aggregate-margins.json
v21,da-13-6,1,5,elicited_bce1a2b83cbd840c,False,aggregate_margin_failed,"{""current_margin"": 20, ""pair_id"": ""pair_7bce062c68bf5dd9"", ""passed"": false, ""prospective_margin"": 15, ""strict_improvement_required"": false, ""view"": ""active_rubric""}",/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-13-6/study/biomnibench-da-factorial-r10-0cc10d3cda04/experiments/da-13-6/rep-001/luna/user-simulator-red-team-trace/rubric-generations/generation-0005/aggregate-margins.json
v21,da-13-6,1,8,elicited_aa8ddcf185074bd4,True,accepted,null,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-13-6/study/biomnibench-da-factorial-r10-0cc10d3cda04/experiments/da-13-6/rep-001/luna/user-simulator-red-team-trace/rubric-generations/generation-0008/aggregate-margins.json
v21,da-13-6,1,8,elicited_ca499a30cbdb5076,False,aggregate_margin_failed,"{""current_margin"": -30, ""pair_id"": ""pair_55964044dfb539e6"", ""passed"": false, ""prospective_margin"": -40, ""strict_improvement_required"": false, ""view"": ""active_rubric""}",/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-13-6/study/biomnibench-da-factorial-r10-0cc10d3cda04/experiments/da-13-6/rep-001/luna/user-simulator-red-team-trace/rubric-generations/generation-0008/aggregate-margins.json
v21,da-13-6,1,9,elicited_79ca2dca4795150c,False,semantic_validation_failed,null,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-13-6/study/biomnibench-da-factorial-r10-0cc10d3cda04/experiments/da-13-6/rep-001/luna/user-simulator-red-team-trace/rubric-generations/generation-0009/aggregate-margins.json
v21,da-13-6,1,11,elicited_79ca2dca4795150c,False,semantic_validation_failed,null,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-13-6/study/biomnibench-da-factorial-r10-0cc10d3cda04/experiments/da-13-6/rep-001/luna/user-simulator-red-team-trace/rubric-generations/generation-0011/aggregate-margins.json
v21,da-13-6,2,6,elicited_3f022ef58570c83c,False,aggregate_margin_failed,"{""current_margin"": 10, ""pair_id"": ""pair_3ac2831e9190de71"", ""passed"": false, ""prospective_margin"": 5, ""strict_improvement_required"": false, ""view"": ""active_rubric""}",/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-13-6/study/biomnibench-da-factorial-r10-0cc10d3cda04/experiments/da-13-6/rep-002/luna/user-simulator-red-team-trace/rubric-generations/generation-0006/aggregate-margins.json
v21,da-13-6,3,3,elicited_735190903a7e56b7,False,aggregate_margin_failed,"{""current_margin"": -20, ""pair_id"": ""pair_55964044dfb539e6"", ""passed"": false, ""prospective_margin"": -30, ""strict_improvement_required"": false, ""view"": ""active_rubric""}",/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-13-6/study/biomnibench-da-factorial-r10-0cc10d3cda04/experiments/da-13-6/rep-003/luna/user-simulator-red-team-trace/rubric-generations/generation-0003/aggregate-margins.json
v21,da-13-6,3,4,elicited_222b0633f9768775,False,criterion_support_failed,null,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-13-6/study/biomnibench-da-factorial-r10-0cc10d3cda04/experiments/da-13-6/rep-003/luna/user-simulator-red-team-trace/rubric-generations/generation-0004/aggregate-margins.json
v21,da-13-6,3,5,elicited_aae480eb43e880fb,True,accepted,null,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-13-6/study/biomnibench-da-factorial-r10-0cc10d3cda04/experiments/da-13-6/rep-003/luna/user-simulator-red-team-trace/rubric-generations/generation-0005/aggregate-margins.json
v21,da-13-6,3,6,elicited_4c4d267aac153efa,True,accepted,null,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-13-6/study/biomnibench-da-factorial-r10-0cc10d3cda04/experiments/da-13-6/rep-003/luna/user-simulator-red-team-trace/rubric-generations/generation-0006/aggregate-margins.json
v21,da-13-6,3,7,elicited_6472611b6dc07874,True,accepted,null,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-13-6/study/biomnibench-da-factorial-r10-0cc10d3cda04/experiments/da-13-6/rep-003/luna/user-simulator-red-team-trace/rubric-generations/generation-0007/aggregate-margins.json
v21,da-13-6,3,10,elicited_c8865dc35acb086d,False,semantic_validation_failed,null,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-13-6/study/biomnibench-da-factorial-r10-0cc10d3cda04/experiments/da-13-6/rep-003/luna/user-simulator-red-team-trace/rubric-generations/generation-0010/aggregate-margins.json
v21,da-13-6,3,11,elicited_58e1a7ce89af89fe,True,accepted,null,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-13-6/study/biomnibench-da-factorial-r10-0cc10d3cda04/experiments/da-13-6/rep-003/luna/user-simulator-red-team-trace/rubric-generations/generation-0011/aggregate-margins.json
v21,da-18-5,1,4,elicited_351c68df399ffd0b,False,aggregate_margin_failed,"{""current_margin"": 18, ""pair_id"": ""pair_625dfd24767e3466"", ""passed"": false, ""prospective_margin"": 8, ""strict_improvement_required"": false, ""view"": ""active_rubric""}",/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-18-5/study/biomnibench-da-factorial-r10-a53feb36c969/experiments/da-18-5/rep-001/luna/user-simulator-red-team-trace/rubric-generations/generation-0004/aggregate-margins.json
v21,da-18-5,1,5,elicited_351c68df399ffd0b,False,aggregate_margin_failed,"{""current_margin"": 18, ""pair_id"": ""pair_625dfd24767e3466"", ""passed"": false, ""prospective_margin"": 8, ""strict_improvement_required"": false, ""view"": ""active_rubric""}",/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-18-5/study/biomnibench-da-factorial-r10-a53feb36c969/experiments/da-18-5/rep-001/luna/user-simulator-red-team-trace/rubric-generations/generation-0005/aggregate-margins.json
v21,da-18-5,1,6,elicited_82c0c412ffef1502,True,accepted,null,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-18-5/study/biomnibench-da-factorial-r10-a53feb36c969/experiments/da-18-5/rep-001/luna/user-simulator-red-team-trace/rubric-generations/generation-0006/aggregate-margins.json
v21,da-18-5,1,7,elicited_baa649a1e06a65d1,False,aggregate_margin_failed,"{""current_margin"": 4, ""pair_id"": ""pair_625dfd24767e3466"", ""passed"": false, ""prospective_margin"": 0, ""strict_improvement_required"": false, ""view"": ""development_rubric""}",/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-18-5/study/biomnibench-da-factorial-r10-a53feb36c969/experiments/da-18-5/rep-001/luna/user-simulator-red-team-trace/rubric-generations/generation-0007/aggregate-margins.json
v21,da-18-5,2,8,elicited_979c36e382533812,True,accepted,null,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-18-5/study/biomnibench-da-factorial-r10-a53feb36c969/experiments/da-18-5/rep-002/luna/user-simulator-red-team-trace/rubric-generations/generation-0008/aggregate-margins.json
v21,da-18-5,2,9,elicited_8944f4063e72d081,False,criterion_support_failed,null,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-18-5/study/biomnibench-da-factorial-r10-a53feb36c969/experiments/da-18-5/rep-002/luna/user-simulator-red-team-trace/rubric-generations/generation-0009/aggregate-margins.json
v21,da-18-5,2,9,elicited_80a34eb27e7871a8,False,aggregate_margin_failed,"{""current_margin"": 10, ""pair_id"": ""pair_2953473d056720d6"", ""passed"": false, ""prospective_margin"": 5, ""strict_improvement_required"": false, ""view"": ""active_rubric""}",/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-18-5/study/biomnibench-da-factorial-r10-a53feb36c969/experiments/da-18-5/rep-002/luna/user-simulator-red-team-trace/rubric-generations/generation-0009/aggregate-margins.json
v21,da-18-5,2,10,elicited_8944f4063e72d081,False,criterion_support_failed,null,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-18-5/study/biomnibench-da-factorial-r10-a53feb36c969/experiments/da-18-5/rep-002/luna/user-simulator-red-team-trace/rubric-generations/generation-0010/aggregate-margins.json
v21,da-18-5,2,11,elicited_7479374c82ac8a19,False,criterion_support_failed,null,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-18-5/study/biomnibench-da-factorial-r10-a53feb36c969/experiments/da-18-5/rep-002/luna/user-simulator-red-team-trace/rubric-generations/generation-0011/aggregate-margins.json
v21,da-18-5,2,11,elicited_8944f4063e72d081,False,criterion_support_failed,null,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-18-5/study/biomnibench-da-factorial-r10-a53feb36c969/experiments/da-18-5/rep-002/luna/user-simulator-red-team-trace/rubric-generations/generation-0011/aggregate-margins.json
v21,da-18-5,3,2,elicited_89612d1aa0fc3a83,True,accepted,null,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-18-5/study/biomnibench-da-factorial-r10-a53feb36c969/experiments/da-18-5/rep-003/luna/user-simulator-red-team-trace/rubric-generations/generation-0002/aggregate-margins.json
v21,da-18-5,3,4,elicited_5b7ec6b2eeb14f72,False,criterion_support_failed,null,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-18-5/study/biomnibench-da-factorial-r10-a53feb36c969/experiments/da-18-5/rep-003/luna/user-simulator-red-team-trace/rubric-generations/generation-0004/aggregate-margins.json
v21,da-18-5,3,4,elicited_0bb18ebf2fa5f4d4,False,aggregate_margin_failed,"{""current_margin"": 79, ""pair_id"": ""pair_951a483429c1bc43"", ""passed"": false, ""prospective_margin"": 74, ""strict_improvement_required"": false, ""view"": ""active_rubric""}",/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-18-5/study/biomnibench-da-factorial-r10-a53feb36c969/experiments/da-18-5/rep-003/luna/user-simulator-red-team-trace/rubric-generations/generation-0004/aggregate-margins.json
v21,da-18-5,3,5,elicited_5b7ec6b2eeb14f72,False,criterion_support_failed,null,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-18-5/study/biomnibench-da-factorial-r10-a53feb36c969/experiments/da-18-5/rep-003/luna/user-simulator-red-team-trace/rubric-generations/generation-0005/aggregate-margins.json
v21,da-18-5,3,5,elicited_0bb18ebf2fa5f4d4,False,aggregate_margin_failed,"{""current_margin"": 79, ""pair_id"": ""pair_951a483429c1bc43"", ""passed"": false, ""prospective_margin"": 74, ""strict_improvement_required"": false, ""view"": ""active_rubric""}",/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-18-5/study/biomnibench-da-factorial-r10-a53feb36c969/experiments/da-18-5/rep-003/luna/user-simulator-red-team-trace/rubric-generations/generation-0005/aggregate-margins.json
v21,da-18-5,3,6,elicited_5b7ec6b2eeb14f72,False,criterion_support_failed,null,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-18-5/study/biomnibench-da-factorial-r10-a53feb36c969/experiments/da-18-5/rep-003/luna/user-simulator-red-team-trace/rubric-generations/generation-0006/aggregate-margins.json
v21,da-18-5,3,6,elicited_0bb18ebf2fa5f4d4,False,aggregate_margin_failed,"{""current_margin"": 79, ""pair_id"": ""pair_951a483429c1bc43"", ""passed"": false, ""prospective_margin"": 74, ""strict_improvement_required"": false, ""view"": ""active_rubric""}",/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-18-5/study/biomnibench-da-factorial-r10-a53feb36c969/experiments/da-18-5/rep-003/luna/user-simulator-red-team-trace/rubric-generations/generation-0006/aggregate-margins.json
v3,da-15-1,1,4,elicited_9b919d0c5295431e,True,accepted,null,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter3/v32-candidate/da-15-1/study/biomnibench-da-factorial-r10-fc0423598fc1/experiments/da-15-1/rep-001/luna/user-simulator-red-team-trace/rubric-generations/generation-0004/aggregate-margins.json
v3,da-15-1,1,4,elicited_014323c9119741b4,True,accepted,null,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter3/v32-candidate/da-15-1/study/biomnibench-da-factorial-r10-fc0423598fc1/experiments/da-15-1/rep-001/luna/user-simulator-red-team-trace/rubric-generations/generation-0004/aggregate-margins.json
v3,da-15-1,1,5,elicited_196dfd2c367dbe7c,False,semantic_validation_failed,null,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter3/v32-candidate/da-15-1/study/biomnibench-da-factorial-r10-fc0423598fc1/experiments/da-15-1/rep-001/luna/user-simulator-red-team-trace/rubric-generations/generation-0005/aggregate-margins.json
v3,da-15-1,1,6,elicited_196dfd2c367dbe7c,False,semantic_validation_failed,null,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter3/v32-candidate/da-15-1/study/biomnibench-da-factorial-r10-fc0423598fc1/experiments/da-15-1/rep-001/luna/user-simulator-red-team-trace/rubric-generations/generation-0006/aggregate-margins.json
v3,da-15-1,1,7,elicited_196dfd2c367dbe7c,False,semantic_validation_failed,null,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter3/v32-candidate/da-15-1/study/biomnibench-da-factorial-r10-fc0423598fc1/experiments/da-15-1/rep-001/luna/user-simulator-red-team-trace/rubric-generations/generation-0007/aggregate-margins.json
v3,da-15-1,1,8,elicited_196dfd2c367dbe7c,False,semantic_validation_failed,null,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter3/v32-candidate/da-15-1/study/biomnibench-da-factorial-r10-fc0423598fc1/experiments/da-15-1/rep-001/luna/user-simulator-red-team-trace/rubric-generations/generation-0008/aggregate-margins.json
v3,da-15-1,2,3,elicited_988b2cea0e7f9009,False,criterion_support_failed,null,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter3/v32-candidate/da-15-1/study/biomnibench-da-factorial-r10-fc0423598fc1/experiments/da-15-1/rep-002/luna/user-simulator-red-team-trace/rubric-generations/generation-0003/aggregate-margins.json
