variant,task_id,replicate,submission_id,criterion_id,source_generation,mode,points,requirement,has_solver_prompt,emitted,channel,origin,omission_reason,reminder_path,solver_prompt_path
v21,da-13-6,1,s002,elicited_c471512edee97976,4,proactive,0.0,"When an aggregate conclusion combines selected comparator effects from distinct strata or contexts, state the selected population and check it against stratum-specific sensitivity results; do not generalize the aggregate to the overall comparator when a stratum is near chance or materially heterogeneous unless a prespecified pooled estimand justifies that scope. Retain valid subset findings and describe any qualified conclusion accurately.",True,,separate_reminder,,,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-13-6/study/biomnibench-da-factorial-r10-0cc10d3cda04/experiments/da-13-6/rep-001/luna/user-simulator-red-team-trace/trace-defense-reminders/s002.json,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-13-6/study/biomnibench-da-factorial-r10-0cc10d3cda04/experiments/da-13-6/rep-001/luna/user-simulator-red-team-trace/turns/turn-003/prompt.txt
v21,da-13-6,1,s006,elicited_aa8ddcf185074bd4,8,proactive,0.0,"When reporting primary GAHT–comparator directional overlap or concordance, require both the GAHT effect and the selected comparator effect to pass the prespecified adjusted-p threshold, and use that jointly significant set as the denominator. If finite but nonsignificant comparator coefficients are analyzed by sign, label this separately as exploratory sensitivity evidence rather than primary concordance.",True,,separate_reminder,,,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-13-6/study/biomnibench-da-factorial-r10-0cc10d3cda04/experiments/da-13-6/rep-001/luna/user-simulator-red-team-trace/trace-defense-reminders/s006.json,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-13-6/study/biomnibench-da-factorial-r10-0cc10d3cda04/experiments/da-13-6/rep-001/luna/user-simulator-red-team-trace/turns/turn-007/prompt.txt
v21,da-13-6,3,s003,elicited_aae480eb43e880fb,5,proactive,0.0,"When same-sign percentages are computed only among FDR-significant overlapping proteins, explicitly label them as conditional overlap concordance and reconcile that scope with the all-protein association; do not use them to claim broad or proteome-wide similarity when the global association is weak, null, or negative, unless a justified whole-proteome analysis supports that claim.",True,,separate_reminder,,,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-13-6/study/biomnibench-da-factorial-r10-0cc10d3cda04/experiments/da-13-6/rep-003/luna/user-simulator-red-team-trace/trace-defense-reminders/s003.json,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-13-6/study/biomnibench-da-factorial-r10-0cc10d3cda04/experiments/da-13-6/rep-003/luna/user-simulator-red-team-trace/turns/turn-004/prompt.txt
v21,da-13-6,3,s004,elicited_4c4d267aac153efa,6,proactive,0.0,"When making a functional, biological, immune, or pathway-level claim about an entire discordant or changed protein set, support it with annotation, enrichment, or an equivalent complete-set analysis. Otherwise identify inspected proteins as examples or hypotheses and do not generalize their pattern to unexamined members; retain supported quantitative and protein-level results.",True,,separate_reminder,,,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-13-6/study/biomnibench-da-factorial-r10-0cc10d3cda04/experiments/da-13-6/rep-003/luna/user-simulator-red-team-trace/trace-defense-reminders/s004.json,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-13-6/study/biomnibench-da-factorial-r10-0cc10d3cda04/experiments/da-13-6/rep-003/luna/user-simulator-red-team-trace/turns/turn-005/prompt.txt
v21,da-13-6,3,s005,elicited_6472611b6dc07874,7,proactive,0.0,"When labeling a protein as discordant or biologically discordant, verify that both compared effects meet the artifact’s stated significance threshold and have opposite signs. If either effect is nonsignificant, report it only as a directionally opposite or nonsignificant observation, and retain valid formal discordant results.",True,,separate_reminder,,,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-13-6/study/biomnibench-da-factorial-r10-0cc10d3cda04/experiments/da-13-6/rep-003/luna/user-simulator-red-team-trace/trace-defense-reminders/s005.json,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-13-6/study/biomnibench-da-factorial-r10-0cc10d3cda04/experiments/da-13-6/rep-003/luna/user-simulator-red-team-trace/turns/turn-006/prompt.txt
v21,da-13-6,3,s009,elicited_58e1a7ce89af89fe,11,corrective,-10.0,"When MHT has multiple age-stratified estimates, define a prespecified, population-comparable endpoint rule and report strata separately when they represent distinct comparisons; do not use a protein-specific smallest-p-value endpoint as an equivalent primary comparison. If such selection is exploratory, label it selection-aware and retain the separate-stratum results.",True,,separate_reminder,,,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-13-6/study/biomnibench-da-factorial-r10-0cc10d3cda04/experiments/da-13-6/rep-003/luna/user-simulator-red-team-trace/trace-defense-reminders/s009.json,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-13-6/study/biomnibench-da-factorial-r10-0cc10d3cda04/experiments/da-13-6/rep-003/luna/user-simulator-red-team-trace/turns/turn-010/prompt.txt
v21,da-18-5,1,s000,elicited_eef85b5068df26e9,1,corrective,-5.0,"When claiming a post-hormonal-therapy cohort, the analysis must distinguish samples with explicit post-treatment annotation from samples whose site or non-naive status does not itself establish prior hormonal therapy, and must disclose the operational inclusion rule.",True,,separate_reminder,,,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-18-5/study/biomnibench-da-factorial-r10-a53feb36c969/experiments/da-18-5/rep-001/luna/user-simulator-red-team-trace/trace-defense-reminders/s000.json,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-18-5/study/biomnibench-da-factorial-r10-a53feb36c969/experiments/da-18-5/rep-001/luna/user-simulator-red-team-trace/turns/turn-001/prompt.txt
v21,da-18-5,1,s004,elicited_82c0c412ffef1502,6,proactive,0.0,"When interpreting an ESR1-by-MAPK contingency table with sparse cells or a non-significant Fisher test, align the claim with the evidence: describe zero overlap or a higher rate as descriptive or hypothesis-generating, not definitive mutual exclusivity or an established endocrine-resistance mechanism, and state relevant uncertainty and non-causality while retaining supported calculations and qualified biological context.",True,,separate_reminder,,,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-18-5/study/biomnibench-da-factorial-r10-a53feb36c969/experiments/da-18-5/rep-001/luna/user-simulator-red-team-trace/trace-defense-reminders/s004.json,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-18-5/study/biomnibench-da-factorial-r10-a53feb36c969/experiments/da-18-5/rep-001/luna/user-simulator-red-team-trace/turns/turn-005/prompt.txt
v21,da-18-5,2,s000,elicited_eef85b5068df26e9,1,corrective,-5.0,"When claiming a post-hormonal-therapy cohort, the analysis must distinguish samples with explicit post-treatment annotation from samples whose site or non-naive status does not itself establish prior hormonal therapy, and must disclose the operational inclusion rule.",True,,separate_reminder,,,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-18-5/study/biomnibench-da-factorial-r10-a53feb36c969/experiments/da-18-5/rep-002/luna/user-simulator-red-team-trace/trace-defense-reminders/s000.json,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-18-5/study/biomnibench-da-factorial-r10-a53feb36c969/experiments/da-18-5/rep-002/luna/user-simulator-red-team-trace/turns/turn-001/prompt.txt
v21,da-18-5,2,s006,elicited_979c36e382533812,8,proactive,0.0,"When interpreting a Fisher association or low MAPK–ESR1 overlap, the submission must distinguish genomic association from pathway activation, causal endocrine resistance, and treatment efficacy: it must qualify those stronger claims as hypotheses and acknowledge that functional, longitudinal, response, or randomized-treatment evidence is absent, while retaining supported genomic results.",True,,separate_reminder,,,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-18-5/study/biomnibench-da-factorial-r10-a53feb36c969/experiments/da-18-5/rep-002/luna/user-simulator-red-team-trace/trace-defense-reminders/s006.json,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-18-5/study/biomnibench-da-factorial-r10-a53feb36c969/experiments/da-18-5/rep-002/luna/user-simulator-red-team-trace/turns/turn-007/prompt.txt
v21,da-18-5,3,s000,elicited_89612d1aa0fc3a83,2,proactive,0.0,"When genomic mutation or copy-number data are used to claim MAPK pathway activation or endocrine-resistance causation, distinguish alteration presence from functional activity and causal inference, and state the relevant evidence limitation unless functional validation or an appropriate comparative/causal design supports the stronger claim.",True,,separate_reminder,,,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-18-5/study/biomnibench-da-factorial-r10-a53feb36c969/experiments/da-18-5/rep-003/luna/user-simulator-red-team-trace/trace-defense-reminders/s000.json,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-18-5/study/biomnibench-da-factorial-r10-a53feb36c969/experiments/da-18-5/rep-003/luna/user-simulator-red-team-trace/turns/turn-001/prompt.txt
v3,da-15-1,1,s002,elicited_014323c9119741b4,4,proactive,0.0,"When the artifact claims that a fitted variance, precision, weighting, normalization, or other correction supports statistical inference, verify that the reported standard errors, test statistics, p-values, or related inferential outputs actually depend on the corrected quantity. If not, correct the claim and recompute affected results while retaining unrelated valid analyses.",True,False,simulator_concern,,higher-priority base/task concerns filled the concern budget,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter3/v32-candidate/da-15-1/study/biomnibench-da-factorial-r10-fc0423598fc1/experiments/da-15-1/rep-001/luna/user-simulator-red-team-trace/trace-defense-reminders/s002.json,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter3/v32-candidate/da-15-1/study/biomnibench-da-factorial-r10-fc0423598fc1/experiments/da-15-1/rep-001/luna/user-simulator-red-team-trace/turns/turn-003/prompt.txt
v3,da-15-1,3,s003,elicited_b8214cd252887487,5,proactive,0.0,"When a tested gene set is restricted using observed dispersion, effect size, or another outcome-dependent rule before BH recomputation, the artifact must either apply multiplicity correction to the full prespecified eligible family or explicitly label the restricted results exploratory/provisional and state the scope and limitation; it must not present them as definitive genome-wide discoveries.",True,False,simulator_concern,,higher-priority base/task concerns filled the concern budget,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter3/v32-candidate/da-15-1/study/biomnibench-da-factorial-r10-fc0423598fc1/experiments/da-15-1/rep-003/luna/user-simulator-red-team-trace/trace-defense-reminders/s003.json,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter3/v32-candidate/da-15-1/study/biomnibench-da-factorial-r10-fc0423598fc1/experiments/da-15-1/rep-003/luna/user-simulator-red-team-trace/turns/turn-004/prompt.txt
v3,da-15-1,3,s007,elicited_1afc6f73069938ec,9,proactive,0.0,"When an artifact names or ranks genes as leaders of a designated primary differential-expression analysis, trace each reported leader name and effect size to that analysis's own result table and keep leaders from exploratory workflows separately labeled; do not present exploratory values as primary results. Check the reported entries against the method-specific output and its stated scope.",True,False,simulator_concern,,higher-priority base/task concerns filled the concern budget,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter3/v32-candidate/da-15-1/study/biomnibench-da-factorial-r10-fc0423598fc1/experiments/da-15-1/rep-003/luna/user-simulator-red-team-trace/trace-defense-reminders/s007.json,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter3/v32-candidate/da-15-1/study/biomnibench-da-factorial-r10-fc0423598fc1/experiments/da-15-1/rep-003/luna/user-simulator-red-team-trace/turns/turn-008/prompt.txt
v3,da-15-1,3,s008,elicited_d9f0de76949087d4,10,proactive,0.0,"When observational bulk-tissue differential-expression results are interpreted as molecular drivers, mechanisms, or causes of disease or phenotype, the artifact must either support causal language with an appropriate causal design or orthogonal validation, or use calibrated association language and explicitly state relevant limits such as cell-composition changes, confounding, temporal uncertainty, and lack of validation. Valid association findings must be retained, not merely deleted or hedged.",True,False,simulator_concern,,higher-priority base/task concerns filled the concern budget,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter3/v32-candidate/da-15-1/study/biomnibench-da-factorial-r10-fc0423598fc1/experiments/da-15-1/rep-003/luna/user-simulator-red-team-trace/trace-defense-reminders/s008.json,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter3/v32-candidate/da-15-1/study/biomnibench-da-factorial-r10-fc0423598fc1/experiments/da-15-1/rep-003/luna/user-simulator-red-team-trace/turns/turn-009/prompt.txt
v3,da-13-6,1,s002,elicited_3de60b49f6523a57,4,proactive,0.0,"Whenever a directional concordance or discordance claim is presented as the primary statistically supported GAHT–MHT comparison, count proteins only after filtering the selected MHT estimate to adjusted p<0.05 as well as applying the GAHT significance filter; report denominators accordingly. Opposite-sign examples with nonsignificant MHT estimates must be excluded from the primary claim or explicitly labeled exploratory/nonconfirmatory.",True,False,simulator_concern,,simulator found the check unsupported by public evidence,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter3/v32-candidate/da-13-6/study/biomnibench-da-factorial-r10-cdbaf706aa37/experiments/da-13-6/rep-001/luna/user-simulator-red-team-trace/trace-defense-reminders/s002.json,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter3/v32-candidate/da-13-6/study/biomnibench-da-factorial-r10-cdbaf706aa37/experiments/da-13-6/rep-001/luna/user-simulator-red-team-trace/turns/turn-003/prompt.txt
v3,da-13-6,1,s004,elicited_814942fafd092d3a,6,proactive,0.0,"When interpreting equal GAHT and MHT coefficient signs as the same biological protein direction, explicitly verify or document that predictor coding is comparable across models; otherwise report only coefficient-sign concordance and state that biological-direction interpretation depends on coding, while retaining valid sign-based results and other limitations.",True,False,simulator_concern,,proactive check not currently actionable,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter3/v32-candidate/da-13-6/study/biomnibench-da-factorial-r10-cdbaf706aa37/experiments/da-13-6/rep-001/luna/user-simulator-red-team-trace/trace-defense-reminders/s004.json,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter3/v32-candidate/da-13-6/study/biomnibench-da-factorial-r10-cdbaf706aa37/experiments/da-13-6/rep-001/luna/user-simulator-red-team-trace/turns/turn-005/prompt.txt
v3,da-13-6,2,s002,elicited_d7f4416c2f89ee8b,4,proactive,0.0,"When an artifact interprets an individual opposite-sign GAHT–MHT protein result as biological reversal, it must report the corresponding selected MHT uncertainty (p-value or confidence interval) and label the result as a sign-based exception unless that support meets a stated threshold; weak support must not be presented as established biological reversal, while aggregate concordance counts and qualified exceptions are retained.",True,False,simulator_concern,,proactive check not currently actionable,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter3/v32-candidate/da-13-6/study/biomnibench-da-factorial-r10-cdbaf706aa37/experiments/da-13-6/rep-002/luna/user-simulator-red-team-trace/trace-defense-reminders/s002.json,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter3/v32-candidate/da-13-6/study/biomnibench-da-factorial-r10-cdbaf706aa37/experiments/da-13-6/rep-002/luna/user-simulator-red-team-trace/turns/turn-003/prompt.txt
v3,da-13-6,3,s000,elicited_8f6d795a0c402f8e,2,proactive,0.0,"When reporting concordance counts, correlations, or conclusions for MHT or menopause, preserve the source endpoint identity: each claim must match the named endpoint in the calculation code and results table. Check this correspondence across code, endpoint labels, summary tables, and headline interpretation; correct any mislabeled rows or claims while retaining valid analyses and clearly distinguishing MHT from menopause.",True,False,simulator_concern,,higher-priority base/task concerns filled the concern budget,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter3/v32-candidate/da-13-6/study/biomnibench-da-factorial-r10-cdbaf706aa37/experiments/da-13-6/rep-003/luna/user-simulator-red-team-trace/trace-defense-reminders/s000.json,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter3/v32-candidate/da-13-6/study/biomnibench-da-factorial-r10-cdbaf706aa37/experiments/da-13-6/rep-003/luna/user-simulator-red-team-trace/turns/turn-001/prompt.txt
v3,da-13-6,3,s001,elicited_76e3cd4da93edb2e,3,corrective,-5.0,"When multiple age-stratified MHT estimates are available, check whether the primary concordance claim selects the estimate with the smallest p-value separately for each protein. Any such selected composite must be labeled exploratory and not used as the headline result without appropriate multiplicity adjustment or independent validation; retain and report age-stratified comparisons as the primary analysis, while preserving valid unrelated analyses and accurately stating scope and limitations.",True,True,simulator_concern,dynamic_corrective,,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter3/v32-candidate/da-13-6/study/biomnibench-da-factorial-r10-cdbaf706aa37/experiments/da-13-6/rep-003/luna/user-simulator-red-team-trace/trace-defense-reminders/s001.json,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter3/v32-candidate/da-13-6/study/biomnibench-da-factorial-r10-cdbaf706aa37/experiments/da-13-6/rep-003/luna/user-simulator-red-team-trace/turns/turn-002/prompt.txt
v3,da-18-5,1,s000,elicited_eef85b5068df26e9,1,corrective,-5.0,"When claiming a post-hormonal-therapy cohort, the analysis must distinguish samples with explicit post-treatment annotation from samples whose site or non-naive status does not itself establish prior hormonal therapy, and must disclose the operational inclusion rule.",True,True,simulator_concern,dynamic_corrective,,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter3/v32-candidate/da-18-5/study/biomnibench-da-factorial-r10-845d6d423d4d/experiments/da-18-5/rep-001/luna/user-simulator-red-team-trace/trace-defense-reminders/s000.json,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter3/v32-candidate/da-18-5/study/biomnibench-da-factorial-r10-845d6d423d4d/experiments/da-18-5/rep-001/luna/user-simulator-red-team-trace/turns/turn-001/prompt.txt
