task_id,set,within_set_order,results45_member,results30_member,replicates,known_completed_reference_conditions,exposure,data_instruction_present,canonical_v2_status,missing_inputs
da-20-4,additional25,3,True,not_fixed,3,none located,"data/old paraphrases prepared; no execution located, prior inspection not ruled out",True,not_established,V2-compatible heldouts; compatible seeds/g1/static/scoring not located
da-19-3,additional25,4,True,not_fixed,3,none located,"data/old paraphrases prepared; no execution located, prior inspection not ruled out",True,not_established,V2-compatible heldouts; compatible seeds/g1/static/scoring not located
da-4-1,additional25,5,True,not_fixed,3,none located,"data/old paraphrases prepared; no execution located, prior inspection not ruled out",True,not_established,V2-compatible heldouts; compatible seeds/g1/static/scoring not located
da-1-3,additional25,6,True,not_fixed,3,none located,"data/old paraphrases prepared; no execution located, prior inspection not ruled out",True,not_established,V2-compatible heldouts; compatible seeds/g1/static/scoring not located
da-3-5,additional25,7,True,not_fixed,3,none located,"data/old paraphrases prepared; no execution located, prior inspection not ruled out",True,not_established,V2-compatible heldouts; compatible seeds/g1/static/scoring not located
da-4-6,additional25,8,True,not_fixed,3,none located,"data/old paraphrases prepared; no execution located, prior inspection not ruled out",True,not_established,V2-compatible heldouts; compatible seeds/g1/static/scoring not located
da-5-1,additional25,9,True,not_fixed,3,none located,"data/old paraphrases prepared; no execution located, prior inspection not ruled out",True,not_established,V2-compatible heldouts; compatible seeds/g1/static/scoring not located
da-26-2,additional25,10,True,not_fixed,3,none located,"data/old paraphrases prepared; no execution located, prior inspection not ruled out",True,not_established,V2-compatible heldouts; compatible seeds/g1/static/scoring not located
da-9-7,additional25,11,True,not_fixed,3,none located,"data/old paraphrases prepared; no execution located, prior inspection not ruled out",True,not_established,V2-compatible heldouts; compatible seeds/g1/static/scoring not located
da-24-3,additional25,12,True,not_fixed,3,none located,"data/old paraphrases prepared; no execution located, prior inspection not ruled out",True,not_established,V2-compatible heldouts; compatible seeds/g1/static/scoring not located
da-6-5,additional25,13,True,not_fixed,3,none located,"data/old paraphrases prepared; no execution located, prior inspection not ruled out",True,not_established,V2-compatible heldouts; compatible seeds/g1/static/scoring not located
da-17-3,additional25,14,True,not_fixed,3,none located,"data/old paraphrases prepared; no execution located, prior inspection not ruled out",True,not_established,V2-compatible heldouts; compatible seeds/g1/static/scoring not located
da-1-4,additional25,15,True,not_fixed,3,none located,"data/old paraphrases prepared; no execution located, prior inspection not ruled out",True,not_established,V2-compatible heldouts; compatible seeds/g1/static/scoring not located
da-8-3,additional25,16,True,not_fixed,3,none located,"data/old paraphrases prepared; no execution located, prior inspection not ruled out",True,not_established,V2-compatible heldouts; compatible seeds/g1/static/scoring not located
da-17-5,additional25,17,True,not_fixed,3,none located,"data/old paraphrases prepared; no execution located, prior inspection not ruled out",True,not_established,V2-compatible heldouts; compatible seeds/g1/static/scoring not located
da-17-1,additional25,18,True,not_fixed,3,none located,"data/old paraphrases prepared; no execution located, prior inspection not ruled out",True,not_established,V2-compatible heldouts; compatible seeds/g1/static/scoring not located
da-9-1,additional25,19,True,not_fixed,3,none located,"data/old paraphrases prepared; no execution located, prior inspection not ruled out",True,not_established,V2-compatible heldouts; compatible seeds/g1/static/scoring not located
da-20-1,additional25,20,True,not_fixed,3,none located,"data/old paraphrases prepared; no execution located, prior inspection not ruled out",True,not_established,V2-compatible heldouts; compatible seeds/g1/static/scoring not located
da-4-7,additional25,21,True,not_fixed,3,none located,"data/old paraphrases prepared; no execution located, prior inspection not ruled out",True,not_established,V2-compatible heldouts; compatible seeds/g1/static/scoring not located
da-8-2,additional25,22,True,not_fixed,3,none located,"data/old paraphrases prepared; no execution located, prior inspection not ruled out",True,not_established,V2-compatible heldouts; compatible seeds/g1/static/scoring not located
da-19-4,additional25,23,True,not_fixed,3,none located,"data/old paraphrases prepared; no execution located, prior inspection not ruled out",True,not_established,V2-compatible heldouts; compatible seeds/g1/static/scoring not located
da-25-1,additional25,24,True,not_fixed,3,none located,"data/old paraphrases prepared; no execution located, prior inspection not ruled out",True,not_established,V2-compatible heldouts; compatible seeds/g1/static/scoring not located
da-6-2,additional25,25,True,not_fixed,3,none located,"data/old paraphrases prepared; no execution located, prior inspection not ruled out",True,not_established,V2-compatible heldouts; compatible seeds/g1/static/scoring not located
da-3-4,canonical_dev3,1,False,not_fixed,3,User v2.1 trace,"canonical development, not confirmation",not_checked_in_45_pool,validated reference pool,native reuse check for each new consumer
da-11-1,canonical_dev3,2,False,not_fixed,3,User v2.1 trace,"canonical development, not confirmation",not_checked_in_45_pool,validated reference pool,native reuse check for each new consumer
da-18-1,canonical_dev3,3,False,not_fixed,3,User v2.1 trace,"canonical development, not confirmation",not_checked_in_45_pool,validated reference pool,native reuse check for each new consumer
da-20-3,unselected_nondev,1,False,not_fixed,,none located,outside historical membership,not_checked_in_45_pool,not_established,out_of_scope
da-5-3,unselected_nondev,2,False,not_fixed,,none located,outside historical membership,not_checked_in_45_pool,not_established,out_of_scope
